Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,0.0,0.0,0.0,0.0,0.0,32.56901708059013,,,,
2013,51.50177642703056,15.152090007439256,0.0,0.0,0.0,34.45050130598247,,,,
2014,71.68433186411858,21.78645151294768,5.79724982753396,7.6860515382140875,0.24445134960114956,36.17012762092054,,,,
2015,90.5307948589325,27.984145345166326,8.834279051050544,12.289765758439898,3.6894716639071703,37.73313301987946,,,,
2016,108.0757733732462,33.756412448361516,11.669851100072265,16.58968265540898,6.915072636678815,39.14475450478494,,,,
2017,124.3538753092289,39.11449376679957,14.309092296287417,20.59348672069609,9.926573434844613,40.4102290738374,,,,
2018,139.3997086584568,44.069630259647965,16.757128950208426,24.308862471953034,12.729293236508965,41.534793734550476,,,,
2019,153.24788138270378,48.633062871173024,19.019087387248874,27.743494423106313,15.328551216050982,42.52368548512459,,,,
2020,165.93300142884254,52.816032538190484,21.100093917921185,30.905067076906562,17.729666540399194,43.3821413256228,,,,
2021,177.48967671394348,56.629780212417245,23.00527487322688,33.80126495100558,19.93795839138329,44.11539826914668,,,,
2022,187.95251521468163,60.0855468492955,24.739756563678384,36.43977255187929,21.958745935931802,44.72869330458343,,,,
2023,197.3561248779297,63.19457339681685,26.308665307238698,38.82827438227832,23.797348346561193,45.2272634357214,,,,
2024,205.73511366546154,65.96810079552233,27.71712742932141,40.974454959854484,25.45908479951322,45.61634567193687,,,,
2025,213.12408949434757,68.41736999340355,28.970269238576293,42.885998794808984,26.94927447102964,45.90117700584233,,,,
2026,219.55766037106514,70.55362193472683,30.073217060416937,44.57059039361775,28.273236529901624,46.086994448676705,,,,
2027,225.07043421268463,72.38809757865965,31.031097212806344,46.035914262756705,29.436290154233575,46.17903499491513,,,,
2028,229.69701896607876,73.93203786946833,31.84903600998223,47.28965491987765,30.443754514679313,46.18253564275801,,,,
2029,233.4720225930214,75.1966837439686,32.532159773632884,48.339496875181794,31.300948789343238,46.102733409032226,,,,
2030,236.43005302548409,76.19327616132796,33.08559482358396,49.19312462769449,32.013192143291235,45.944865284487605,,,,
2031,238.60571825504303,76.9330560658127,33.51446747221053,49.858222691342235,32.585803754627705,45.71416827104986,,,,
2032,240.03362619876862,77.42726440913975,33.82390404492617,50.34247558377683,33.02410279773176,45.415879372507334,,,,
2033,240.74838483333588,77.68714213185012,34.019030859693885,50.653567807748914,33.3334084469825,45.05523559264839,,,,
2034,240.7846020758152,77.72393017448485,34.104974234476686,50.7991838734597,33.51903986930847,44.63747392967343,,,,
2035,240.17688593268394,77.54886950738728,34.08686048351228,50.787008287385106,33.586316248402,44.16783138550818,,,,
2036,238.95984429121017,77.17320106364787,33.969815930351615,50.62472556717694,33.54055674932897,43.65154497139156,,,,
2037,237.16808515787125,76.60816578753293,33.75896689109504,50.32002022303641,33.38708055019379,43.09385167248547,,,,
2038,234.83621641993523,75.86500463075936,33.45943968184292,49.88057675771415,33.13120682351291,42.499988505616784,,,,
2039,231.99884608387947,74.95495855249465,33.07636062800884,49.314079685136676,32.77825474739075,41.875192461535335,,,,
2040,228.6905820965767,73.88926847465336,32.614856043830514,48.628213508054614,32.33354348503053,41.224700547754765,,,,
2041,224.94603234529495,72.67917537875473,32.08005224913359,47.83066274411976,31.802392216399312,40.553749768063426,,,,
2042,220.79980489611626,71.33592017181218,31.47707555629313,46.92911190353334,31.190120114013553,39.86757712252438,,,,
2043,216.28650760650635,69.87074383534491,30.811052288860083,45.93124548532069,30.502046352252364,39.1714196074754,,,,
2044,211.44074845314026,68.29488731361926,30.087108770385385,44.844748014584184,29.74349010363221,38.47051423601806,,,,
2045,206.29713541269302,66.61959153600037,29.31037131510675,43.677303994074464,28.91977054066956,37.77009799517691,,,,
2046,200.8902763724327,64.85609745420516,28.48596623726189,42.43659793399274,28.03620683774352,37.07540790550411,,,,
2047,195.254779368639,63.01564602740109,27.61901986040175,41.13031434081495,27.098118169233203,36.39168094843626,,,,
2048,189.42525228857994,61.10947819985449,26.714658504351974,39.76613772474229,26.110823709517717,35.72415413893759,,,,
2049,183.4363031089306,59.148834919556975,25.778008481487632,38.351752599701285,25.079642632976174,35.078064477071166,,,,
2050,177.32253977656364,57.144957127049565,24.81419611722231,36.89484346844256,24.00989410839975,34.4586489610374,,,,
2051,171.11857026815414,55.10908576287329,23.82834772206843,35.4030948523432,22.906897308304906,33.87114459834993,,,,
2052,164.85900247097015,53.05246179737151,22.825589625164866,33.88419125042856,21.775971414521337,33.32078838162124,,,,
2053,158.5784444063902,50.98632616735995,21.8110481351614,32.34581717662513,20.62243559397757,32.81281732581556,,,,
2054,152.31150399148464,48.921919817104936,20.78984957188368,30.795657137408853,19.45160902477801,32.352468421682715,,,,
2055,146.09278917312622,46.87048369087279,19.767120258882642,29.241395654156804,18.26881087757647,31.94497867114842,,,,
2056,139.95690789818764,44.84325875528157,18.74798651598394,27.69071722216904,17.079360323026776,31.595585085451603,,,,
2057,133.93846814334393,42.85148593969643,17.737574653699994,26.15130635537207,15.888576541095972,31.309524653479457,,,,
2058,128.07207787036896,40.90640619583428,16.741010999307036,24.6308475676924,14.701778704300523,31.09203439205885,,,,
2059,122.3923449665308,39.01926046796143,15.76342186331749,23.13702536560595,13.524285981431603,30.948351291939616,,,,
2060,116.93387745320797,37.201289715245366,14.809933569282293,21.67752426303923,12.361417546868324,30.883712355047464,,,,
