"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Project Drawdown  (see ='TAM Factoring'!D367),TAM Factoring'!D367,Global ,,,,,,Average Twh per m2 Roof space per year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
Jaffal et al. 2012,http://zavit.org.il/wp-content/uploads/2015/04/Jaffal-et-al.-2011-green-roofs-energy.pdf,,La Rochelle,,,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
Jaffal et al. 2012,http://zavit.org.il/wp-content/uploads/2015/04/Jaffal-et-al.-2011-green-roofs-energy.pdf,OECD90,"Athens, Greece",,,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
Jaffal et al. 2012,http://zavit.org.il/wp-content/uploads/2015/04/Jaffal-et-al.-2011-green-roofs-energy.pdf,OECD90,"Stockholm, Sweden",,,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,EU,Tenerife,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,EU,Sevilla,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,EU,Rome,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,EU,Amsterdam,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,OECD90,London,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
F. Ascione et al. / Applied Energy 104 (2013) 845–859,,EU,Oslo,,2013.0,,,kWh/m2/year,0.0,"TJ/ Residential and Commercial roof area, m2",,,
