Year,World
2012,
2013,
2014,15846.690762545904
2015,16085.850051945781
2016,16386.336717020935
2017,16697.63331285334
2018,17017.878948551726
2019,17342.61293414819
2020,17671.902303573774
2021,18005.169130912633
2022,18342.693320797833
2023,18684.674452562416
2024,19031.627112735423
2025,19383.886781072397
2026,19741.512627864988
2027,20104.1218776304
2028,20471.117438733603
2029,20841.690758297613
2030,21215.283629136364
2031,21523.626146065933
2032,21833.196252234873
2033,22144.542132588325
2034,22458.48647606864
2035,22775.73405580136
2036,23096.556224209162
2037,23421.096509364164
2038,23749.815968007133
2039,24083.219218554863
2040,24421.755748587468
2041,24765.75042292523
2042,25115.457350303375
2043,25471.155287731966
2044,25833.089268645006
2045,26201.46755191387
2046,26576.49889981294
2047,26958.327260177328
2048,27346.989252021398
2049,27742.455256862704
2050,28144.69959259649
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
