"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,World,,2 - Public Sector/ Multilateral Agency,2014,,55.98669999999999,TWh,19.193904487640985,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2014,,0.10709999999999999,TWh,0.036717062634989195,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,9.5102,TWh,3.260379169666426,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2014,,0.0,TWh,0.0,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2014,,0.26949999999999996,TWh,0.09239260859131268,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,41.1474,TWh,14.106551475881927,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2014,,0.1568,TWh,0.05375569954403647,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,China,,2 - Public Sector/ Multilateral Agency,2014,,0.4578,TWh,0.15694744420446363,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,53.60529999999999,TWh,18.377489800815933,MMT Manure,,4% of biogestors are closed cover & flare,
IRENA (2016) Renewable Energy Statistics (Biogas) ,http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2014,,1.6597,TWh,0.5689944804415646,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (2015 adoption),,World,,2 - Public Sector/ Multilateral Agency,2015,,0.0,TWh,0.0,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (2016 adoption),,World,,2 - Public Sector/ Multilateral Agency,2016,,66.68911666666666,TWh,22.863010959123272,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (2017 adoption),,World,,2 - Public Sector/ Multilateral Agency,2017,,71.93316666666666,TWh,24.660827133829294,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (2018 adoption),,World,,2 - Public Sector/ Multilateral Agency,2018,,77.17721666666667,TWh,26.458643308535315,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (May2020) for 2014 adoption (based on IRENA RE Statistics 2019),https://www.irena.org/publications/2019/Jul/Renewable-energy-statistics-2019,World,,2 - Public Sector/ Multilateral Agency,2014,,56.07086003999999,TWh,19.22275705029312,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (May2020) for 2015 adoption (based on IRENA RE Statistics 2019),https://www.irena.org/publications/2019/Jul/Renewable-energy-statistics-2019,World,,2 - Public Sector/ Multilateral Agency,2015,,58.9431492,TWh,20.207463128663992,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (May2020) for 2016 adoption (based on IRENA RE Statistics 2019),https://www.irena.org/publications/2019/Jul/Renewable-energy-statistics-2019,World,,2 - Public Sector/ Multilateral Agency,2016,,61.28636904,TWh,21.010788522061095,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (May2020) for 2017 adoption (based on IRENA RE Statistics 2019),https://www.irena.org/publications/2019/Jul/Renewable-energy-statistics-2019,World,,2 - Public Sector/ Multilateral Agency,2017,,62.5981122,TWh,21.46049305769824,MMT Manure,,4% of biogestors are closed cover & flare,
Project Drawdown Estimations (May2020) for 2017 adoption (based on IRENA RE Statistics 2019),https://www.irena.org/publications/2019/Jul/Renewable-energy-statistics-2019,World,,2 - Public Sector/ Multilateral Agency,2018,,63.34,TWh,21.714834241832083,MMT Manure,,4% of biogestors are closed cover & flare,
"Based on White et al., 2017 and GLEAM, 2017",ManureWeighting!,World,,2 - Public Sector/ Multilateral Agency,2017,,1034.030210576343,MMT Manure,41.361208423053725,MMT Manure,,"Manure managed in digesters, 4% flare",
