Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,13167.899611385164,,,,,,,,,
2013,13321.21904216122,,,,,,,,,
2014,13522.7097660594,,,,,,,,,
2015,13684.084823243536,,,,,,,,,
2016,13845.70937681255,,,,,,,,,
2017,14007.400716331,,,,,,,,,
2018,14168.928180227438,,,,,,,,,
2019,14329.992694177165,,,,,,,,,
2020,14490.896958892343,,,,,,,,,
2021,14649.902798724564,,,,,,,,,
2022,14808.605393760878,,,,,,,,,
2023,14966.436069259371,,,,,,,,,
2024,15123.401011820048,,,,,,,,,
2025,15308.122953134916,,,,,,,,,
2026,15434.64919986028,,,,,,,,,
2027,15588.799246543695,,,,,,,,,
2028,15741.900971764686,,,,,,,,,
2029,15893.91770577461,,,,,,,,,
2030,16010.02596361886,,,,,,,,,
2031,16194.531934404062,,,,,,,,,
2032,16343.033501254362,,,,,,,,,
2033,16490.28259949818,,,,,,,,,
2034,16636.25015777519,,,,,,,,,
2035,16782.19124567282,,,,,,,,,
2036,16924.17722623555,,,,,,,,,
2037,17066.022401981336,,,,,,,,,
2038,17206.392803595114,,,,,,,,,
2039,17345.246674929287,,,,,,,,,
2040,17481.202321408917,,,,,,,,,
2041,17618.181637197555,,,,,,,,,
2042,17752.115567435154,,,,,,,,,
2043,17884.23107874501,,,,,,,,,
2044,18014.41344885855,,,,,,,,,
2045,18161.67950082388,,,,,,,,,
2046,18268.551369010172,,,,,,,,,
2047,18392.322216233963,,,,,,,,,
2048,18513.76382803515,,,,,,,,,
2049,18632.7738053004,,,,,,,,,
2050,18739.501274318463,,,,,,,,,
2051,18863.10150214539,,,,,,,,,
2052,18974.23164720228,,,,,,,,,
2053,19082.49194315481,,,,,,,,,
2054,19187.719867246935,,,,,,,,,
2055,19289.77839270857,,,,,,,,,
2056,19388.57389889205,,,,,,,,,
2057,19484.048950685898,,,,,,,,,
2058,19576.151733901104,,,,,,,,,
2059,19664.847697267756,,,,,,,,,
2060,19750.10302413688,,,,,,,,,
