Year,World
2012,
2013,
2014,13481.694444444443
2015,13637.87477742829
2016,13733.868314057587
2017,13824.554813358609
2018,13908.75983088691
2019,13986.951570287943
2020,14058.520031561713
2021,14121.138399951644
2022,14176.381971637542
2023,14222.517160080233
2024,14260.029866924944
2025,14316.424494569746
2026,14305.760857246965
2027,14312.917824569753
2028,14309.106747749234
2029,14299.934681641978
2030,14244.994921903555
2031,14247.30383814711
2032,14203.021800160535
2033,14145.615047869089
2034,14074.626025192989
2035,14020.691379523156
2036,14156.405943493945
2037,14291.87690164981
2038,14425.89090138168
2039,14558.073590255211
2040,14687.140078682545
2041,14816.8968659647
2042,14943.272118069366
2043,15065.136630652112
2044,15185.298162214967
2045,15322.037082545821
2046,15419.578094591156
2047,15534.460457027744
2048,15647.799854225299
2049,15760.062896770702
2050,15861.597639345779
2051,15057.831698101152
2052,15045.159033577474
2053,15030.129493028964
2054,15013.020390687952
2055,14993.995040612
2056,14973.280349567849
2057,14950.960594634256
2058,14927.154071466799
2059,14894.814371900817
2060,14859.079365724248
