Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,119.57391466644607,,,,,,,,,
2013,148.70515965043154,,,,,,,,,
2014,177.38294812088878,,,,,,,,,
2015,200.605153948204,,,,,,,,,
2016,233.57601156500374,,,,,,,,,
2017,261.1902145605538,,,,,,,,,
2018,288.5488170863606,,,,,,,,,
2019,377.3233494236287,,,,,,,,,
2020,420.0097135229067,,,,,,,,,
2021,459.5247885143375,,,,,,,,,
2022,500.1962578743612,,,,,,,,,
2023,540.6735580446069,,,,,,,,,
2024,581.0256872254066,,,,,,,,,
2025,621.3216436170921,,,,,,,,,
2026,661.6304254199954,,,,,,,,,
2027,702.0210308344484,,,,,,,,,
2028,742.5624580607831,,,,,,,,,
2029,783.3237052993312,,,,,,,,,
2030,822.954208991722,,,,,,,,,
2031,865.7816526143956,,,,,,,,,
2032,907.6163490915757,,,,,,,,,
2033,949.9468583822969,,,,,,,,,
2034,992.8421786868912,,,,,,,,,
2035,1036.3713082056904,,,,,,,,,
2036,1080.6032451390265,,,,,,,,,
2037,1125.6069876872316,,,,,,,,,
2038,1171.451534050637,,,,,,,,,
2039,1218.2058824295755,,,,,,,,,
2040,1266.7907680795995,,,,,,,,,
2041,1314.7199780353772,,,,,,,,,
2042,1364.6177216629048,,,,,,,,,
2043,1415.7012601072925,,,,,,,,,
2044,1468.0395915688725,,,,,,,,,
2045,1521.7017142479765,,,,,,,,,
2046,1576.7566263449364,,,,,,,,,
2047,1633.2733260600842,,,,,,,,,
2048,1691.3208115937518,,,,,,,,,
2049,1750.9680811462713,,,,,,,,,
2050,1812.0813383810166,,,,,,,,,
2051,1875.3379651091925,,,,,,,,,
2052,1940.1985759202585,,,,,,,,,
2053,2006.9349635515036,,,,,,,,,
2054,2075.61612620326,,,,,,,,,
2055,2146.31106207586,,,,,,,,,
2056,2219.0887693696345,,,,,,,,,
2057,2294.018246284916,,,,,,,,,
2058,2371.168491022037,,,,,,,,,
2059,2450.6085017813284,,,,,,,,,
2060,2532.4072767631224,,,,,,,,,
