Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,119.57391466644607,,,,,,,,,
2013,148.70515965043154,,,,,,,,,
2014,177.38294812088878,,,,,,,,,
2015,200.605153948204,,,,,,,,,
2016,233.57601156500374,,,,,,,,,
2017,261.1902145605538,,,,,,,,,
2018,288.5488170863606,,,,,,,,,
2019,411.3082374506722,,,,,,,,,
2020,450.0104073459714,,,,,,,,,
2021,496.37366568679954,,,,,,,,,
2022,538.4403947932703,,,,,,,,,
2023,580.3077549738034,,,,,,,,,
2024,622.0592120397419,,,,,,,,,
2025,663.7782318024288,,,,,,,,,
2026,705.5482800732073,,,,,,,,,
2027,747.4528226634202,,,,,,,,,
2028,789.5753253844109,,,,,,,,,
2029,831.9992540475223,,,,,,,,,
2030,905.2496298908941,,,,,,,,,
2031,918.0852524454801,,,,,,,,,
2032,961.9142538030126,,,,,,,,,
2033,1006.3785443480381,,,,,,,,,
2034,1051.5615898919,,,,,,,,,
2035,1097.5468562459412,,,,,,,,,
2036,1144.4178092215047,,,,,,,,,
2037,1192.2579146299336,,,,,,,,,
2038,1241.1506382825717,,,,,,,,,
2039,1291.1794459907608,,,,,,,,,
2040,1319.573716749583,,,,,,,,,
2041,1394.9791768191672,,,,,,,,,
2042,1448.91703156207,,,,,,,,,
2043,1504.324833605897,,,,,,,,,
2044,1561.2860487619912,,,,,,,,,
2045,1619.8841428416956,,,,,,,,,
2046,1680.2025816563535,,,,,,,,,
2047,1742.3248310173074,,,,,,,,,
2048,1806.3343567359013,,,,,,,,,
2049,1872.3146246234774,,,,,,,,,
2050,1946.3095856684995,,,,,,,,,
2051,2010.5212501509498,,,,,,,,,
2052,2082.914539413532,,,,,,,,,
2053,2157.61243409047,,,,,,,,,
2054,2234.6983999931053,,,,,,,,,
2055,2314.255902932782,,,,,,,,,
2056,2396.368408720843,,,,,,,,,
2057,2481.119383168631,,,,,,,,,
2058,2568.592292087489,,,,,,,,,
2059,2658.8706012887615,,,,,,,,,
2060,2752.03777658379,,,,,,,,,
