"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"ICCT (2012), Global Roadmap Model",http://www.theicct.org/global-transportation-roadmap-model,World,,4 - Independently Verified,2012,,15765.0,veh-km/yr,23100.322391248454,PKM/yr,,,True
"Ou, S., Yu, R., Lin, Z., Ren, H., He, X., Przesmitzki, S., & Bouchard, J. (2020). Intensity and daily pattern of passenger vehicle use by region and class in China: Estimation and implications for energy use and electrification. Mitigation and Adaptation Strategies for Global Change, 25(3), 307–327. ",https://doi.org/10.1007/s11027-019-09887-0,China,China,1  - Peer Reviewed,2020,,12377.0,veh-km/yr,18135.91438226972,PKM/yr,,,
Budget Direct. (2020). Average KM driven per year/day in Australia 2020. ,https://www.budgetdirect.com.au/car-insurance/research/average-kilometers-driven.html,OECD90,Australia,3 - For Profit,2018,,13301.0,veh-km/yr,19489.84383926392,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2018,,13766.0,veh-km/yr,20171.20444262139,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Germany,2 - Public Sector/ Multilateral Agency,2018,,13727.0,veh-km/yr,20114.05806943657,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Finland,2 - Public Sector/ Multilateral Agency,2018,,13587.0,veh-km/yr,19908.917242619267,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Spain,2 - Public Sector/ Multilateral Agency,2018,,13199.0,veh-km/yr,19340.384094011315,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,France,2 - Public Sector/ Multilateral Agency,2018,,13117.0,veh-km/yr,19220.23018116118,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Netherlands,2 - Public Sector/ Multilateral Agency,2018,,12984.0,veh-km/yr,19025.34639568474,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,UK,2 - Public Sector/ Multilateral Agency,2018,,12630.0,veh-km/yr,18506.63316216099,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Europeanion 28,2 - Public Sector/ Multilateral Agency,2018,,11946.0,veh-km/yr,17504.37369399645,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Greece,2 - Public Sector/ Multilateral Agency,2018,,10047.0,veh-km/yr,14721.784907381745,PKM/yr,,,
Odyssee-Mure. (2019). Change in distance travelled by car,https://www.odyssee-mure.eu/publications/efficiency-by-sector/transport/distance-travelled-by-car.html,EU,Italy,2 - Public Sector/ Multilateral Agency,2018,,9433.0,veh-km/yr,13822.09585262586,PKM/yr,,,
ITF,https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,,2 - Public Sector/ Multilateral Agency,2020,,12100.0,veh-km/yr,18997.0,PKM/yr,,,
