Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,16.70734781999996,,,,,,,,,
2015,37.946164194160694,,,,,,,,,
2016,57.132660932112586,,,,,,,,,
2017,419.6298315198119,,,,,,,,,
2018,678.4915095455924,,,,,,,,,
2019,985.9087315045491,,,,,,,,,
2020,962.9823821249529,,,,,,,,,
2021,1786.5585261224278,,,,,,,,,
2022,2303.590502415427,,,,,,,,,
2023,2916.9685471699063,,,,,,,,,
2024,3642.748770222099,,,,,,,,,
2025,4536.865600057114,,,,,,,,,
2026,5505.011592903705,,,,,,,,,
2027,6683.165390434947,,,,,,,,,
2028,8057.255479327713,,,,,,,,,
2029,9653.47209942805,,,,,,,,,
2030,13240.494171017232,,,,,,,,,
2031,13628.713760726614,,,,,,,,,
2032,16072.07472559816,,,,,,,,,
2033,18866.425786284057,,,,,,,,,
2034,22050.48777839204,,,,,,,,,
2035,23375.8335313406,,,,,,,,,
2036,24779.19243635487,,,,,,,,,
2037,25147.04757851213,,,,,,,,,
2038,25544.427345148128,,,,,,,,,
2039,25973.84509462043,,,,,,,,,
2040,26364.87309134912,,,,,,,,,
2041,26930.77550691547,,,,,,,,,
2042,27461.21744923733,,,,,,,,,
2043,28028.527473842332,,,,,,,,,
2044,28635.07237088823,,,,,,,,,
2045,29371.897552801693,,,,,,,,,
2046,29966.391093811933,,,,,,,,,
2047,30695.99612208497,,,,,,,,,
2048,31468.429830391295,,,,,,,,,
2049,32285.07350343824,,,,,,,,,
2050,33124.33997972311,,,,,,,,,
2051,34062.51987077164,,,,,,,,,
2052,35025.10431671924,,,,,,,,,
2053,36037.26391169195,,,,,,,,,
2054,37101.13371041803,,,,,,,,,
2055,38219.899922050565,,,,,,,,,
2056,39390.87104705682,,,,,,,,,
2057,40617.4712853709,,,,,,,,,
2058,41902.97335441646,,,,,,,,,
2059,43268.09094238536,,,,,,,,,
2060,44694.72308987365,,,,,,,,,
