Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,26.634308340402857,,,,,,,,,
2016,73.67159680777227,,,,,,,,,
2017,147.54727006099546,,,,,,,,,
2018,221.6270197596696,,,,,,,,,
2019,295.91084590379455,,,,,,,,,
2020,397.21776077510765,,,,,,,,,
2021,396.49841291692763,,,,,,,,,
2022,630.5399957602957,,,,,,,,,
2023,901.7212278776291,,,,,,,,,
2024,1210.3213756051266,,,,,,,,,
2025,1436.1305865120546,,,,,,,,,
2026,1940.8990193471948,,,,,,,,,
2027,2363.4385841459493,,,,,,,,,
2028,2824.5212021232333,,,,,,,,,
2029,3324.4296757270326,,,,,,,,,
2030,3574.6805238812185,,,,,,,,,
2031,4441.858935717895,,,,,,,,,
2032,5059.948863112714,,,,,,,,,
2033,5718.002928149554,,,,,,,,,
2034,6416.307469388184,,,,,,,,,
2035,7018.470839283443,,,,,,,,,
2036,7934.816870821682,,,,,,,,,
2037,8755.597944247875,,,,,,,,,
2038,9617.781920338508,,,,,,,,,
2039,10521.658673765132,,,,,,,,,
2040,11602.559870005716,,,,,,,,,
2041,12455.653547424377,,,,,,,,,
2042,13486.35495311189,,,,,,,,,
2043,14559.91570704519,,,,,,,,,
2044,15676.62922000761,,,,,,,,,
2045,17207.145412062368,,,,,,,,,
2046,18040.691702264972,,,,,,,,,
2047,19288.63102923838,,,,,,,,,
2048,20580.903830597847,,,,,,,,,
2049,21917.80705323849,,,,,,,,,
2050,23066.062294785224,,,,,,,,,
2051,24694.03202253369,,,,,,,,,
2052,26130.151940049283,,,,,,,,,
2053,27608.131768850024,,,,,,,,,
2054,29128.10517396138,,,,,,,,,
2055,30690.205820408857,,,,,,,,,
2056,32294.56737321792,,,,,,,,,
2057,33941.32349741407,,,,,,,,,
2058,35630.6078580228,,,,,,,,,
2059,37362.554120069566,,,,,,,,,
2060,39137.29594857989,,,,,,,,,
