"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Combined Data: IEA (2016) ETP, ICCT (2012) Roadmap Model, ITDP (2014) A Global Highshift Scenario, UIC (2016) Railway Statistics 2015 Synopsis, Amtrak (2016) Amtrak FY15 Ridership and Revenue ",,World,,,2018,,113.54543137799892,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,World,,2 - Public Sector/ Multilateral Agency,2018,,130.53169096527643,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,OECD90,,2 - Public Sector/ Multilateral Agency,2016,,14.405959906291683,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2016,,8.68248837596512e-05,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2016,,2.7858260096477,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2016,,8.68248837596512e-05,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,Latin America,,2 - Public Sector/ Multilateral Agency,2016,,8.68248837596512e-05,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,China,,2 - Public Sector/ Multilateral Agency,2016,,2.6861138324271523,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,India,,2 - Public Sector/ Multilateral Agency,2016,,0.09962535233678836,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,EU,,2 - Public Sector/ Multilateral Agency,2016,,4.508096807458965,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
IEA (2016) ETP and IEA (2012) Electric vehicle growth rate projections,,USA,,2 - Public Sector/ Multilateral Agency,2016,,6.7600117997589235,billion pkms,,billion passenger-km,,"Electric vehicles are driven around the same annual distance as ICE cars, IEA(2012) ETP Improve Case scenario growth rate used for estimating EV growth rates.",
