"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Lu, S. (2006). Vehicle survivability and travel mileage schedules (No. HS-809 952).",http://www-nrd.nhtsa.dot.gov/Pubs/809952.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2006,,152137.0,miles,0.0004567127965085566,billion passenger-km/vehicle,,,
"Hawkins, T. R., Singh, B. , Majeau‐Bettez, G. and Strømman, A. H. (2013), Comparative Environmental Life Cycle Assessment of Conventional and Electric Vehicles. Journal of Industrial Ecology, 17: 53-64. doi:10.1111/j.1530 9290.2012.00532.x",http://onlinelibrary.wiley.com/doi/10.1111/j.1530-9290.2012.00532.x/full,OECD90,EU,1  - Peer Reviewed,2012,,150000.0,km,0.0002798019300465061,billion passenger-km/vehicle,,,
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,World/Li-ion PHEV30,1  - Peer Reviewed,2012,,240.0,1000 km,0.0004476830880744098,billion passenger-km/vehicle,,,
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,World/Li-ion PHEV90,1  - Peer Reviewed,2012,,240.0,1000 km,0.0004476830880744098,billion passenger-km/vehicle,,,
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,World/Generic PHEV,1  - Peer Reviewed,2012,,150.0,1000 km,0.0002798019300465061,billion passenger-km/vehicle,,,
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,World/Li-ion PHEV,1  - Peer Reviewed,2012,,256.0,1000 km,0.00047752862727937044,billion passenger-km/vehicle,,,
"Hawkins, T.R., Gausen, O.M. & Strømman, A.H. Int J Life Cycle Assess (2012) 17: 997. https://doi.org/10.1007/s11367-012-0440-9",http://link.springer.com/10.1007/s11367-012-0440-9,World,World/Li-ion PHEV60,1  - Peer Reviewed,2012,,240.0,1000 km,0.0004476830880744098,billion passenger-km/vehicle,,,
"Nykvist, B., & Nilsson, M. (2015). Rapidly falling costs of battery packs for electric vehicles. Nature Climate Change, 5(4), 329–332. https://doi.org/10.1038/nclimate2564",https://www.sciencedirect.com/science/article/pii/S0959652618337211,OECD90,Germany,2 - Public Sector/ Multilateral Agency,2015,,14259.0,km/ year,0.00029257768617242956,billion passenger-km/vehicle,,,
"Kara, S., Li, W., & Sadjiva, N. (2017). Life Cycle Cost Analysis of Electrical Vehicles in Australia. Procedia CIRP, 61, 767–772. https://doi.org/10.1016/j.procir.2016.11.179",,OECD90,Austrilia,2 - Public Sector/ Multilateral Agency,2017,,160000.0,km,0.0002984553920496065,billion passenger-km/vehicle,,,
"ITF, 2020",https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,2 - Public Sector/ Multilateral Agency,2020,,181500.0,km,0.0003385603353562724,billion passenger-km/vehicle,,,
"Palmer, K., Tate, J. E., Wadud, Z., & Nellthorp, J. (2018). Total cost of ownership and market share for hybrid and electric vehicles in the UK, US and Japan. Applied Energy, 209, 108–119. https://doi.org/10.1016/j.apenergy.2017.10.089",https://www.sciencedirect.com/science/article/pii/S030626191731526X?via%3Dihub,OECD90,UK,2 - Public Sector/ Multilateral Agency,2018,,12050.0,km/ year,6.743226514120798e-05,billion passenger-km/vehicle,,3 years,
"Hagman, J., Ritzén, S., Stier, J. J., & Susilo, Y. (2016). Total cost of ownership and its potential implications for battery electric vehicle diffusion. Research in Transportation Business & Management, 18, 11–17. https://doi.org/10.1016/j.rtbm.2016.01.003",https://www.sciencedirect.com/science/article/pii/S2210539516000043?via%3Dihub,OECD90,Sweden,2 - Public Sector/ Multilateral Agency,2016,,15000.0,km/ year,8.394057901395183e-05,billion passenger-km/vehicle,,3 years,
"Letmathe, P., & Suares, M. (2017). A consumer-oriented total cost of ownership model for different vehicle types in Germany. Transportation Research Part D: Transport and Environment, 57, 314–335. https://doi.org/10.1016/j.trd.2017.09.007",https://www.sciencedirect.com/science/article/pii/S1361920917304868?via%3Dihub,OECD90,Germany,2 - Public Sector/ Multilateral Agency,2017,,10000.0,km/ year,9.326731001550204e-05,billion passenger-km/vehicle,,5 years,
"Hasan, M. A., Frame, D. J., Chapman, R., & Archie, K. M. (2021). Costs and emissions: Comparing electric and petrol-powered cars in New Zealand. Transportation Research Part D: Transport and Environment, 90, 102671. https://doi.org/10.1016/j.trd.2020.102671",https://www.sciencedirect.com/science/article/pii/S1361920920308567?via%3Dihub,OECD90,New Zealand,2 - Public Sector/ Multilateral Agency,2021,,10500.0,km/ year,0.00023503362123906513,billion passenger-km/vehicle,,12 years,
"Sengupta, S., & Cohan, D. S. (2017). Fuel cycle emissions and life cycle costs of alternative fuel vehicle policy options for the City of Houston municipal fleet. Transportation Research Part D: Transport and Environment, 54, 160–171. https://doi.org/10.1016/j.trd.2017.04.039",https://www.sciencedirect.com/science/article/pii/S136192091730367X?via%3Dihub,OECD90,"US, houston",2 - Public Sector/ Multilateral Agency,2017,,27143.0,km/ year,0.00035441764340510805,billion passenger-km/vehicle,,For sedans 7 years,
"Mansour, C., Haddad, M., & Zgheib, E. (2018). Assessing consumption, emissions and costs of electrified vehicles under real driving conditions in a developing country with an inadequate road transport system. Transportation Research Part D: Transport and Environment, 63, 498–513. ",https://www.sciencedirect.com/science/article/pii/S1361920917307794?via%3Dihub,Asia (Sans Japan),Lebanon,2 - Public Sector/ Multilateral Agency,2018,,15000.0,km/ year,0.0002798019300465061,billion passenger-km/vehicle,,10 years,
"Palmer, K., Tate, J. E., Wadud, Z., & Nellthorp, J. (2018). Total cost of ownership and market share for hybrid and electric vehicles in the UK, US and Japan. Applied Energy, 209, 108–119. https://doi.org/10.1016/j.apenergy.2017.10.089",https://www.sciencedirect.com/science/article/pii/S136192091730367X?via%3Dihub,OECD90,"US, houston",2 - Public Sector/ Multilateral Agency,2017,,25334.0,km/ year,0.000330796764470582,billion passenger-km/vehicle,,For trucks 7 years,
"Palmer, K., Tate, J. E., Wadud, Z., & Nellthorp, J. (2018). Total cost of ownership and market share for hybrid and electric vehicles in the UK, US and Japan. Applied Energy, 209, 108–119. https://doi.org/10.1016/j.apenergy.2017.10.090",https://www.sciencedirect.com/science/article/pii/S030626191731526X?via%3Dihub,OECD90,Texas,2 - Public Sector/ Multilateral Agency,2018,,25200.0,km/ year,0.00014102017274343908,billion passenger-km/vehicle,,3 years,
"Palmer, K., Tate, J. E., Wadud, Z., & Nellthorp, J. (2018). Total cost of ownership and market share for hybrid and electric vehicles in the UK, US and Japan. Applied Energy, 209, 108–119. https://doi.org/10.1016/j.apenergy.2017.10.091",https://www.sciencedirect.com/science/article/pii/S030626191731526X?via%3Dihub,OECD90,"California, Japan",2 - Public Sector/ Multilateral Agency,2018,,17800.0,km/ year,9.960948709655617e-05,billion passenger-km/vehicle,,3 years,
"Palmer, K., Tate, J. E., Wadud, Z., & Nellthorp, J. (2018). Total cost of ownership and market share for hybrid and electric vehicles in the UK, US and Japan. Applied Energy, 209, 108–119. https://doi.org/10.1016/j.apenergy.2017.10.092",https://www.sciencedirect.com/science/article/pii/S030626191731526X?via%3Dihub,OECD90,Japan,2 - Public Sector/ Multilateral Agency,2018,,10000.0,km/ year,5.5960386009301224e-05,billion passenger-km/vehicle,,3 years,
