VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low
1,Current_Adoption,Current Adoption,True,False,5.877162183171919,12.39250427756094,-0.6381799112171027
2,CONVENTIONAL_First_Cost_per_Implementation_Unit,CONVENTIONAL First Cost per Implementation Unit,True,True,27301.838757440706,34446.2976378079,20157.379877073516
3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,True,47609.897539880934,61448.4036339891,33771.391445772766
4,CONVENTIONAL_Lifetime_Capacity,CONVENTIONAL Lifetime Capacity,True,False,0.00031246110689814923,0.00039019721036530385,0.00023472500343099458
5,SOLUTION_Lifetime_Capacity,SOLUTION Lifetime Capacity,True,False,0.0003418754355350648,0.0004093226777470428,0.00027442819332308677
6,CONVENTIONAL_Average_Annual_Use,CONVENTIONAL Average Annual Use,True,False,2.480710964561463e-05,2.480710964561463e-05,2.480710964561463e-05
7,SOLUTION_Average_Annual_Use,SOLUTION Average Annual Use,True,False,2.480710964561463e-05,2.480710964561463e-05,2.480710964561463e-05
8,CONVENTIONAL_Variable_Operating_Cost_VOM_per_Functional_Unit,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,True,False,11798368.442342987,16441221.126027104,7155515.758658871
9,SOLUTION_Variable_Operating_Cost_VOM_per_Functional_Unit,SOLUTION Variable Operating Cost (VOM) per Functional Unit,True,True,4964809.909943991,6505500.23806037,3424119.581827613
10,CONVENTIONAL_Fixed_Operating_Cost_FOM,CONVENTIONAL Fixed Operating Cost (FOM),True,False,7952.966245228271,11652.916240504179,4253.016249952363
11,SOLUTION_Fixed_Operating_Cost_FOM,SOLUTION Fixed Operating Cost (FOM),True,False,7952.966245228271,11652.916240504179,4253.016249952363
12,Electricty_Consumed_per_Functional_Unit_CONVENTIONAL,Electricty Consumed per Functional Unit - CONVENTIONAL,False,False,,,
13,SOLUTION_Energy_Efficiency_Factor,SOLUTION Energy Efficiency Factor,False,False,,,
14,SOLUTION_Total_Energy_Used_per_Functional_Unit,SOLUTION Total Energy Used per Functional Unit,True,True,0.11294342791342879,0.15579624996378086,0.07009060586307672
15,CONVENTIONAL_Fuel_Consumed_per_Functional_Unit,CONVENTIONAL Fuel Consumed per Functional Unit,True,False,52941803.48093162,63320590.44625217,42563016.51561107
16,SOLUTION_Fuel_Efficiency_Factor,SOLUTION Fuel Efficiency Factor,True,True,0.8973903445157089,1.052610891898769,0.7421697971326486
17,CONVENTIONAL_Direct_Emissions_per_Functional_Unit,CONVENTIONAL Direct Emissions per Functional Unit,False,False,,,
18,SOLUTION_Direct_Emissions_per_Functional_Unit,SOLUTION Direct Emissions per Functional Unit,False,False,,,
19,CONVENTIONAL_Indirect_CO2_Emissions_per_Unit,CONVENTIONAL Indirect CO2 Emissions per Unit,True,False,8.497902,11.811252902768377,5.184551097231623
20,SOLUTION_Indirect_CO2_Emissions_per_Unit,SOLUTION Indirect CO2 Emissions per Unit,True,True,9.992266666666668,14.205814093716706,5.778719239616629
21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,
22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,
23,SOLUTION_Car_Occupancy,SOLUTION Car Occupancy,True,False,1.5735559559539887,1.5735559559539887,1.5735559559539887
24,Fraction_of_BEV_PHEV_market_that_is_BEV,Fraction of BEV+PHEV market that is BEV,True,False,0.6,0.6,0.6
25,Discount_Rates_Households,Discount Rates - Households,True,False,0.04,0.04999999999999999,0.030000000000000013
26,CONVENTIONAL_Car_Occupancy,CONVENTIONAL Car Occupancy,True,False,1.5735559559539887,1.5735559559539887,1.5735559559539887
27,EV_Learning_Rate,EV Learning Rate,True,False,0.01705,0.02,0.014099999999999998
28,Average_Annual_EV_Car_Vehicle_km,Average Annual EV Car Vehicle km,True,False,15765.0,15765.0,15765.0
29,CONVENTIONAL_Revenue_per_Functional_Unit,CONVENTIONAL Revenue per Functional Unit,False,False,,,
30,SOLUTION_Revenue_per_Functional_Unit,SOLUTION Revenue per Functional Unit,False,False,,,
