Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,17.10376591265091,,,,,,,,,
2013,18.553729198863362,,,,,,,,,
2014,20.031754612385633,,,,,,,,,
2015,21.52032505288525,,,,,,,,,
2016,23.015836765946915,,,,,,,,,
2017,24.51919662456099,,,,,,,,,
2018,26.03039553417253,,,,,,,,,
2019,27.54941176477976,,,,,,,,,
2020,29.07622524049394,,,,,,,,,
2021,30.610826877017573,,,,,,,,,
2022,32.15321956283274,,,,,,,,,
2023,33.703407476963804,,,,,,,,,
2024,35.2614012960645,,,,,,,,,
2025,36.827210623260754,,,,,,,,,
2026,38.40083769738309,,,,,,,,,
2027,39.98228082603128,,,,,,,,,
2028,41.5715427193757,,,,,,,,,
2029,43.16862607297411,,,,,,,,,
2030,44.77353360360049,,,,,,,,,
2031,46.3862684601968,,,,,,,,,
2032,48.006833552535575,,,,,,,,,
2033,49.635231001200864,,,,,,,,,
2034,51.27146251416712,,,,,,,,,
2035,52.91553006054018,,,,,,,,,
2036,54.56743479090113,,,,,,,,,
2037,56.22717936139317,,,,,,,,,
2038,57.894769104052266,,,,,,,,,
2039,59.570210737984986,,,,,,,,,
2040,61.25350931075528,,,,,,,,,
2041,62.94466689154928,,,,,,,,,
2042,64.64368229234843,,,,,,,,,
2043,66.35055294367571,,,,,,,,,
2044,68.06527416524018,,,,,,,,,
2045,69.78784095943776,,,,,,,,,
2046,71.51825023342377,,,,,,,,,
2047,73.25649820806888,,,,,,,,,
2048,75.00257737720749,,,,,,,,,
2049,76.7564785033538,,,,,,,,,
2050,78.51819236206839,,,,,,,,,
2051,80.28771415447676,,,,,,,,,
2052,82.06503716182775,,,,,,,,,
2053,83.85014733344147,,,,,,,,,
2054,85.64302774775683,,,,,,,,,
2055,87.44366468616023,,,,,,,,,
2056,89.25204980857563,,,,,,,,,
2057,91.06818101699147,,,,,,,,,
2058,92.89205902558612,,,,,,,,,
2059,94.72368839423322,,,,,,,,,
2060,96.56287053507961,,,,,,,,,
