"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Middle East and Africa,Sun Saharan Africa,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,OECD90,Latin America,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,OECD90,North America,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Asia (Sans Japan),South Asia,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Asia (Sans Japan),Asia and Pacific,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Eastern Europe,East Europe,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Asia (Sans Japan),Central Asia,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,OECD90,West Europe,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,OECD90,Near East and North America,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield first 10 year  under integrated soil fertility management,
Nkonya et al 2016,http://link.springer.com/book/10.1007%2F978-3-319-19168-3,Middle East and Africa,Sun Saharan Africa,,1  - Peer Reviewed,,yes,,ton/ha/yr,0.0,Kg/ha/yr,,Table 6.16 Rainfed maize yield next 10 year  under integrated soil fertility management,
