"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Stern et al. 2006,http://mudancasclimaticas.cptec.inpe.br/~rmclima/pdfs/destaques/sternreview_report_complete.pdf,Global ,Global ,,1  - Peer Reviewed,2006,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Stern et al. 2006,http://mudancasclimaticas.cptec.inpe.br/~rmclima/pdfs/destaques/sternreview_report_complete.pdf,Global ,Global ,,1  - Peer Reviewed,2006,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Stern et al. 2006,http://mudancasclimaticas.cptec.inpe.br/~rmclima/pdfs/destaques/sternreview_report_complete.pdf,Global ,Global ,,1  - Peer Reviewed,2006,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Boucher et al 2008,http://www.ucsusa.org/sites/default/files/legacy/assets/documents/clean_energy/Briefing-1-REDD-costs-w-endnotes.pdf,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Boucher et al 2008,http://www.ucsusa.org/sites/default/files/legacy/assets/documents/clean_energy/Briefing-1-REDD-costs-w-endnotes.pdf,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Boucher et al 2008,http://www.ucsusa.org/sites/default/files/legacy/assets/documents/clean_energy/Briefing-1-REDD-costs-w-endnotes.pdf,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,OECD90,Central and South America,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,OECD90,Central and South America ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,OECD91,Central and South America ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Middle East and Africa,Africa ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Middle East and Africa,Africa ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Middle East and Africa,Africa,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Asia (Sans Japan),Southeast Asia  ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Asia (Sans Japan),Southeast Asia  ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Asia (Sans Japan),Southeast Asia  ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Kindermann et al. 2008,http://www.cifor.org/library/2554/global-cost-estimates-of-reducing-carbon-emissions-through-avoided-deforestation/,Global ,Global ,,1  - Peer Reviewed,2008,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
Fischer et al. 2011,http://www.nature.com/nclimate/journal/v1/n3/abs/nclimate1119.html,Global ,Global ,,1  - Peer Reviewed,2011,,,USD/t CO2-eq,0.0,USD/t CO2-eq,,,
