Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,69.311,,,,,,,,,
2013,70.087,,,,,,,,,
2014,74.195,,,,,,,,,
2015,75.97797934537539,,,,,,,,,
2016,76.78370240636039,,,,,,,,,
2017,76.9448329168441,,,,,,,,,
2018,76.50759284613545,,,,,,,,,
2019,75.51791112311616,,,,,,,,,
2020,72.21662441865107,,,,,,,,,
2021,68.91533771418595,,,,,,,,,
2022,67.80683039033777,,,,,,,,,
2023,66.69832306648959,,,,,,,,,
2024,65.5898157426414,,,,,,,,,
2025,64.48130841879323,,,,,,,,,
2026,63.372801094945046,,,,,,,,,
2027,62.264293771096874,,,,,,,,,
2028,61.15578644724869,,,,,,,,,
2029,60.047279123400514,,,,,,,,,
2030,58.938771799552335,,,,,,,,,
2031,57.830264475704155,,,,,,,,,
2032,56.72175715185597,,,,,,,,,
2033,55.613249828007795,,,,,,,,,
2034,54.50474250415961,,,,,,,,,
2035,53.396235180311436,,,,,,,,,
2036,52.28772785646325,,,,,,,,,
2037,51.179220532615076,,,,,,,,,
2038,50.0707132087669,,,,,,,,,
2039,48.96220588491872,,,,,,,,,
2040,47.85369856107054,,,,,,,,,
2041,46.74519123722236,,,,,,,,,
2042,45.63668391337418,,,,,,,,,
2043,44.528176589526,,,,,,,,,
2044,43.41966926567782,,,,,,,,,
2045,42.31116194182964,,,,,,,,,
2046,41.20265461798146,,,,,,,,,
2047,40.09414729413328,,,,,,,,,
2048,38.9856399702851,,,,,,,,,
2049,37.87713264643692,,,,,,,,,
2050,37.11970477383197,,,,,,,,,
2051,36.36227690122703,,,,,,,,,
2052,34.55161067489238,,,,,,,,,
2053,33.4431033510442,,,,,,,,,
2054,32.33459602719602,,,,,,,,,
2055,31.22608870334784,,,,,,,,,
2056,30.11758137949966,,,,,,,,,
2057,29.00907405565148,,,,,,,,,
2058,27.900566731803302,,,,,,,,,
2059,26.792059407955122,,,,,,,,,
2060,25.683552084106942,,,,,,,,,
