Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,69.311,,,,,,,,,
2013,70.087,,,,,,,,,
2014,74.195,,,,,,,,,
2015,75.0,,,,,,,,,
2016,76.0,,,,,,,,,
2017,77.0,,,,,,,,,
2018,64.24200917140504,,,,,,,,,
2019,103.75666307685161,,,,,,,,,
2020,161.20389363819635,,,,,,,,,
2021,218.65112419954107,,,,,,,,,
2022,292.90539380212806,,,,,,,,,
2023,377.61399768910616,,,,,,,,,
2024,472.2141670531473,,,,,,,,,
2025,558.0,,,,,,,,,
2026,688.8381269831069,,,,,,,,,
2027,809.7363799343699,,,,,,,,,
2028,938.2751231333842,,,,,,,,,
2029,1073.8915877728223,,,,,,,,,
2030,1218.9990969582393,,,,,,,,,
2031,1364.1066061436563,,,,,,,,,
2032,1517.5796222603972,,,,,,,,,
2033,1675.8792845882494,,,,,,,,,
2034,1838.4428243198859,,,,,,,,,
2035,2004.7074726479782,,,,,,,,,
2036,2174.1104607651987,,,,,,,,,
2037,2346.089019864219,,,,,,,,,
2038,2520.0803811377114,,,,,,,,,
2039,2695.5217757783485,,,,,,,,,
2040,2872.0126828550465,,,,,,,,,
2041,3048.5035899317445,,,,,,,,,
2042,3224.9184718298466,,,,,,,,,
2043,3400.5323118657807,,,,,,,,,
2044,3574.7823412322214,,,,,,,,,
2045,3747.105791121837,,,,,,,,,
2046,3916.9398927273032,,,,,,,,,
2047,4083.7218772412884,,,,,,,,,
2048,4246.888975856468,,,,,,,,,
2049,4405.878419765512,,,,,,,,,
2050,4557.475844000698,,,,,,,,,
2051,4709.073268235884,,,,,,,,,
2052,4852.153135182557,,,,,,,,,
2053,4988.804272193783,,,,,,,,,
2054,5118.463910462235,,,,,,,,,
2055,5240.569281180582,,,,,,,,,
2056,5354.5576155415,,,,,,,,,
2057,5459.866144737661,,,,,,,,,
2058,5555.932099961735,,,,,,,,,
2059,5642.192712406394,,,,,,,,,
2060,5718.085213264312,,,,,,,,,
