Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,70.6311,,,,,,,,,
2013,71.73,,,,,,,,,
2014,76.0695,,,,,,,,,
2015,80.68,,,,,,,,,
2016,83.112,,,,,,,,,
2017,85.978,,,,,,,,,
2018,87.85475184298302,,,,,,,,,
2019,92.63152585280197,,,,,,,,,
2020,98.0637432806736,,,,,,,,,
2021,104.15140412659792,,,,,,,,,
2022,110.89450839057491,,,,,,,,,
2023,118.2930560726046,,,,,,,,,
2024,126.34704717268697,,,,,,,,,
2025,135.38484095490819,,,,,,,,,
2026,144.42135962700976,,,,,,,,,
2027,154.44168098125016,,,,,,,,,
2028,165.11744575354328,,,,,,,,,
2029,176.44865394388907,,,,,,,,,
2030,190.0,,,,,,,,,
2031,201.0774005787387,,,,,,,,,
2032,214.37493902324255,,,,,,,,,
2033,228.32792088579905,,,,,,,,,
2034,242.93634616640824,,,,,,,,,
2035,258.30269016125584,,,,,,,,,
2036,274.1195269817847,,,,,,,,,
2037,290.694282516552,,,,,,,,,
2038,307.9244814693719,,,,,,,,,
2039,325.81012384024456,,,,,,,,,
2040,343.0,,,,,,,,,
2041,363.5477388361478,,,,,,,,,
2042,383.3997114611785,,,,,,,,,
2043,403.9071275042619,,,,,,,,,
2044,425.0699869653979,,,,,,,,,
2045,446.88828984458667,,,,,,,,,
2046,469.36203614182807,,,,,,,,,
2047,492.4912258571221,,,,,,,,,
2048,516.2758589904689,,,,,,,,,
2049,540.7159355418684,,,,,,,,,
2050,565.8114555113206,,,,,,,,,
2051,591.5624188988254,,,,,,,,,
2052,617.9688257043829,,,,,,,,,
2053,645.0306759279931,,,,,,,,,
2054,672.747969569656,,,,,,,,,
2055,701.1207066293715,,,,,,,,,
2056,730.1488871071398,,,,,,,,,
2057,759.8325110029607,,,,,,,,,
2058,790.1715783168344,,,,,,,,,
2059,821.1660890487607,,,,,,,,,
2060,852.8160431987396,,,,,,,,,
