Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,69.311,,,,,,,,,
2013,70.087,,,,,,,,,
2014,74.195,,,,,,,,,
2015,162.53074154469897,,,,,,,,,
2016,203.13033129046184,,,,,,,,,
2017,243.11488473205833,,,,,,,,,
2018,282.468787970561,,,,,,,,,
2019,321.1729686150403,,,,,,,,,
2020,358.86350402812985,,,,,,,,,
2021,396.5540394412194,,,,,,,,,
2022,433.19664982242574,,,,,,,,,
2023,469.11966671589704,,,,,,,,,
2024,504.3089653502679,,,,,,,,,
2025,538.7504936477894,,,,,,,,,
2026,572.4287865571997,,,,,,,,,
2027,605.327769468392,,,,,,,,,
2028,637.4326714485258,,,,,,,,,
2029,668.7290332533164,,,,,,,,,
2030,698.783632933917,,,,,,,,,
2031,728.8382326145176,,,,,,,,,
2032,757.6217201149728,,,,,,,,,
2033,785.5390252520656,,,,,,,,,
2034,812.5765385126142,,,,,,,,,
2035,838.7204093588306,,,,,,,,,
2036,863.9558003378231,,,,,,,,,
2037,888.2676984874134,,,,,,,,,
2038,911.641831492035,,,,,,,,,
2039,934.0639828769965,,,,,,,,,
2040,955.0281070262274,,,,,,,,,
2041,975.9922311754584,,,,,,,,,
2042,995.466079177354,,,,,,,,,
2043,1013.9229229438574,,,,,,,,,
2044,1031.3439188603684,,,,,,,,,
2045,1047.7102708181442,,,,,,,,,
2046,1063.0039351022267,,,,,,,,,
2047,1077.2071106249043,,,,,,,,,
2048,1090.3012620399177,,,,,,,,,
2049,1102.2676800547022,,,,,,,,,
2050,1112.5053168494978,,,,,,,,,
2051,1122.7429536442935,,,,,,,,,
2052,1131.2152239640602,,,,,,,,,
2053,1138.4828640194394,,,,,,,,,
2054,1144.5234917289347,,,,,,,,,
2055,1149.3163088055703,,,,,,,,,
2056,1152.8432010301817,,,,,,,,,
2057,1155.0883087385025,,,,,,,,,
2058,1156.0361933829586,,,,,,,,,
2059,1155.6725074298495,,,,,,,,,
2060,1154.6192168987222,,,,,,,,,
