"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Julian Sproul, Man Pun Wan, Benjamin H. Mandel,∗ , Arthur H. Rosenfeld, Energy and Buildings 71 (2014) 20–27",https://linkinghub.elsevier.com/retrieve/pii/S0378778813007652,OECD90,USA,1  - Peer Reviewed,2014,,-0.6,US$2014per sq. m,,,,,
US GSA. (2011). The_Benefits_and_Challenges_of_Green_Roofs_on_Public_and_Commercial_Buildings.pdf. Retrieved from https://www.gsa.gov/cdnstatic/The_Benefits_and_Challenges_of_Green_Roofs_on_Public_and_Commercial_Buildings.pdf,https://www.gsa.gov/cdnstatic/The_Benefits_and_Challenges_of_Green_Roofs_on_Public_and_Commercial_Buildings.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2011,,-0.166,US$2011/ft2,-1.87614777,,,,
"Bianchini, F., & Hewage, K. (2012). Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach. Building and Environment, 58, 152–162. https://doi.org/10.1016/j.buildenv.2012.07.005",https://linkinghub.elsevier.com/retrieve/pii/S036013231200193X,OECD90,Canada,1  - Peer Reviewed,2012,,-0.9,CAN$2012/m2,-0.927,,,,
"Bianchini, F., & Hewage, K. (2012). Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach. Building and Environment, 58, 152–162. https://doi.org/10.1016/j.buildenv.2012.07.005",https://linkinghub.elsevier.com/retrieve/pii/S036013231200193X,OECD90,Canada,1  - Peer Reviewed,2012,,-0.4,CAN$2012/m2,-0.41200000000000003,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,Tenerife CZ 2,1  - Peer Reviewed,2013,,1.31541582150101,(E)2013 annual operational cost reduction,1.747482563894518,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,Sevilla CZ 3,1  - Peer Reviewed,2013,,0.964503042596348,(E)2013 annual operational cost reduction,1.281307569979715,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,Rome CZ 4,1  - Peer Reviewed,2013,,0.35395537525355,(E)2013 annual operational cost reduction,0.47021697363083204,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,Amsterdam CZ 5,1  - Peer Reviewed,2013,,-0.163286004056795,(E)2013 annual operational cost reduction,-0.21691957809330611,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,London CZ 4,1  - Peer Reviewed,2013,,-0.0223123732251516,(E)2013 annual operational cost reduction,-0.029641184584177794,,,,
"Ascione, F., Bianco, N., de’ Rossi, F., Turni, G., & Vanoli, G. P. (2013). Green roofs in European climates. Are effective solutions for the energy savings in air-conditioning? Applied Energy, 104, 845–859. https://doi.org/10.1016/j.apenergy.2012.11.068",https://linkinghub.elsevier.com/retrieve/pii/S0306261912008732,OECD90,Oslo CZ6,1  - Peer Reviewed,2013,,-0.337728194726166,(E)2013 annual operational cost reduction,,,,,
