Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,152.50051712622934,,,,,,,,,
2013,178.34259851326732,,,,,,,,,
2014,206.02941101227444,,,,,,,,,
2015,235.52664728670166,,,,,,,,,
2016,266.79999999999995,,,,,,,,,
2017,283.94991370375845,,,,,,,,,
2018,292.6063496563956,,,,,,,,,
2019,303.26007006842104,186.58495136097557,16.0687376351016,57.27037340457484,28.378318135517926,14.957689532251097,,,,
2020,312.73290662040245,189.3698646481927,16.439837802681783,60.530965590462245,29.9732153913012,16.419023187764562,,,,
2021,322.1219343376502,192.04031065854545,16.803793055269573,63.806147784338634,31.574912830949334,17.89677000854714,,,,
2022,331.65355277354575,194.7351174848478,17.172579456828757,67.1389013225962,33.20470515288087,19.40224935639211,,,,
2023,341.21767769356285,197.39016982537566,17.540519442624667,70.50668857092904,34.85144930566226,20.928850548971216,,,,
2024,350.81000738749736,200.00537544695393,17.907494894409897,73.90746192473343,36.51414810787765,22.475527013522466,,,,
2025,360.2717799851765,202.49379762691356,18.265555419466047,77.30604413041597,38.17544404723339,24.030938761147585,,,,
2026,371.3379386107806,205.82291412497239,18.70233218354272,81.07841898944363,40.020960258856306,25.713313053965592,,,,
2027,382.8884305960787,209.34664454434886,19.160327934582604,84.99224959624485,41.935864212432314,27.453344308470097,,,,
2028,394.49129138719155,212.82494296470924,19.61776027609077,88.953519684244,43.87374506584131,29.22132339630622,,,,
2029,406.1417888183452,216.25785112871642,20.074505426522165,92.95990750464208,45.8334725175464,31.016052240918146,,,,
2030,418.3172251787553,219.8987655851838,20.55412283461162,97.12102422342548,47.869085634009394,32.87422690152492,,,,
2031,429.56715427564944,222.98767638843552,20.985449906980726,101.09893255235394,49.81403524217774,34.68106018570147,,,,
2032,441.18143301666527,226.20700529431585,21.432052240661065,105.19098316020309,51.81490407094286,36.53648825054237,,,,
2033,452.8226462233004,229.3817173216033,21.877451263167426,109.31770869591276,53.8325371591144,38.41323178350259,,,,
2034,464.48788544159015,232.51254915604838,22.321601463584596,113.47733835532301,55.86607429080807,40.31032217582614,,,,
2035,476.1949520607913,235.6104194810478,22.76544462208746,117.67325029067541,57.91718915930312,42.2286485076775,,,,
2036,487.87275880305185,238.6422409901203,23.205671906243595,121.88686976694149,59.97675040727119,44.16122573247526,,,,
2037,499.58824944559575,241.6431448804772,23.64557005976465,126.13376791885567,62.05243241756788,46.113334168930365,,,,
2038,511.31965611240463,244.6042449497173,24.084179420618018,130.40765460466596,64.14114909562348,48.082428041779856,,,,
2039,523.0659346699358,247.52682396214144,24.521527426506026,134.7074017003836,66.24235458080427,50.06782700010057,,,,
2040,534.2186229029357,250.1276853827582,24.92929298730337,138.87401640605637,68.27788791103356,52.00974021578432,,,,
2041,546.5786855986399,253.25178118292715,25.39159192780721,143.37484173676398,70.47752840807982,54.08294234306175,,,,
2042,558.1399065509755,255.96337370865143,25.814958886114415,147.68660769786035,72.58402641755768,56.090939840791606,,,,
2043,569.7107845434081,258.6424277928276,26.237183294939527,152.018804792108,74.70038568677829,58.111982976754526,,,,
2044,581.2919268444766,261.2905570351232,26.658350637229162,156.37094810241192,76.82637439631054,60.14569667340172,,,,
2045,592.9031497426173,263.9178446237977,27.079420244302778,160.7477997708963,78.96433786143649,62.19374724218402,,,,
2046,604.4673248696257,266.49123093603015,27.49692416325749,165.1278334959128,81.10370774056588,64.24762853385947,,,,
2047,615.9884848990364,269.0143330356375,27.911124904146256,169.51126156579565,83.24459697953243,66.30716841392456,,,,
2048,627.4773286886559,271.49349342873444,28.322579041274583,173.90022055907568,85.38806264559278,68.37297301397847,,,,
2049,638.930890649847,273.9289421265259,28.73121776581273,178.29315689062884,87.53334893945164,70.4442249274279,,,,
2050,650.2174400634746,276.26617084078515,29.131202088750083,182.65235925120984,89.66195051980915,72.50575736292038,,,,
2051,653.681882034686,277.73815245572496,29.286416872251202,183.6255544633667,90.13968089962056,72.89207734372258,,,,
2052,656.8946324894289,279.1031946882313,29.430355310366156,184.52804709750293,90.58270419391657,73.25033119941193,,,,
2053,659.986226670794,280.4167597107198,29.568865675244957,185.39650576421994,91.00902060353154,73.59507491707782,,,,
2054,662.9583433767942,281.67956081549863,29.702023180810155,186.2314020540947,91.4188616268767,73.92649569951406,,,,
2055,649.3535565629033,282.892296206822,29.82990145000722,187.03319758229316,91.8124538655483,74.2447767896711,,,,
2056,629.4237029321614,284.0556490008914,29.952572514804647,187.80234398857073,92.19001902432791,74.55009747065627,,,,
2057,608.5666305936414,285.17028722585485,30.070106816193903,188.53928293727208,92.55177391118214,74.84263306573357,,,,
2058,586.7965460172245,286.2368638218074,30.182573204189456,189.24444611733125,92.89793043726291,75.12255493832387,,,,
2059,564.1288697142533,287.2560166407906,30.290038937828733,189.91825524227144,93.22869561690722,75.39003049200475,,,,
2060,540.5802382781259,288.22836844679284,30.392569685172163,190.56112205020517,93.54427156763724,75.64522317051055,,,,
