Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,549.512,217.387557406621,25.8728477534317,162.2225086460354,79.63317092124447,64.3959152726673,,,,
2013,588.6835,232.88384630468593,27.717171909725923,173.78640351535253,85.30975442577491,68.98632384446061,,,,
2014,627.4053333333333,248.20224657008433,29.540324267758304,185.21755141149856,90.92117396204941,73.52403712194258,,,,
2015,665.6775,263.34275820281624,31.34230482752885,196.51595233447358,96.46742953006799,78.00905510511325,,,,
2016,703.5,278.3053812028816,33.12311358903755,207.68160628427754,101.94852112983064,82.44137779397256,,,,
2017,734.87113423417,290.7158367420535,34.600170650381344,216.9427399711462,106.49470555248739,86.11768131810139,,,,
2018,743.5205837215568,294.13756856406104,35.00741542344937,219.49616081409607,107.74815058990923,87.13128833004103,,,,
2019,751.9619873930118,297.47699723026096,35.40486470939183,221.98816404619524,108.97144642582217,88.12051498134146,,,,
2020,760.3397439420507,300.7912470241561,35.79931727768625,224.46137788722302,110.18551876492704,89.10228298805822,,,,
2021,768.197363010181,303.89972985301614,36.169280048024646,226.78104092864342,111.32421477572653,90.02309740477017,,,,
2022,776.0939031170265,307.02360988801183,36.54107534997125,229.11219392576905,112.468551074142,90.94847287913221,,,,
2023,783.7743519654365,310.06200398121155,36.90269635867157,231.37955420128011,113.5815722563861,91.84852516788709,,,,
2024,791.2407264682535,313.01571002557534,37.25423803707257,233.5837171719482,114.66357060573031,92.72349062792692,,,,
2025,798.152706413469,315.7500969673236,37.57967698071226,235.6242162446235,115.66522822263688,93.53348799817265,,,,
2026,808.3158747185312,319.7706576345153,38.0581926568929,238.6245049703275,117.13803558396546,94.72448387282988,,,,
2027,819.1666950451593,324.06325420504294,38.569085271268364,241.8277967897109,118.71049483818756,95.99606394094937,,,,
2028,829.761806803222,328.25469218189414,39.06793827802154,244.95560038413296,120.24589778763998,97.23767817153333,,,,
2029,840.104139775078,332.3461305902232,39.554889621024294,248.00878066035455,121.74466900514247,98.44966989833338,,,,
2030,851.177259469183,336.72666903737746,40.076248827012705,251.2776979093237,123.34934303088178,99.74730066458724,,,,
2031,860.0420277024763,340.23358119436665,40.49363152087463,253.89468341895864,124.63399123492293,100.78614033335332,,,,
2032,869.3447312696122,343.9137410557301,40.931633662934885,256.6409526721346,125.98210334747263,101.87630053133994,,,,
2033,878.4104064621771,347.5001322289046,41.358475722870416,259.3172483168302,127.2958662173026,102.93868397626913,,,,
2034,887.2443843817252,350.99486370358505,41.77440870662627,261.92514415792704,128.57605240719815,103.97391540638866,,,,
2035,895.8906370949632,354.4153308781893,42.18150296496331,264.4776212749491,129.82903418037424,104.98714779648702,,,,
2036,904.2257771329851,357.71272153300254,42.57394900655525,266.93825421269014,131.03693069819425,105.96392168254279,,,,
2037,912.3857241694097,360.9408056418405,42.958146380497006,269.3471680829379,132.21943891832393,106.9201651458103,,,,
2038,920.3388798504188,364.0870828608442,43.332607331475494,271.69503467406923,133.37197972855023,107.8521752554796,,,,
2039,928.0922140893588,367.1543104954732,43.69766002613105,273.9839115877891,134.49556318197625,108.76076879798903,,,,
2040,934.5896573008627,369.72470624504206,44.00358120528238,275.9020344632774,135.43714772574012,109.52218766152063,,,,
2041,942.9904418382043,373.0480659366812,44.399118007652525,278.38204644161885,136.65455719256644,110.50665425968516,,,,
2042,949.8026507040772,375.7429833286505,44.719859397924814,280.3930918994845,137.64175636741118,111.3049597106061,,,,
2043,956.4477433164577,378.3717893451637,45.032732400639176,282.3548026424084,138.60473769591573,112.0836812323306,,,,
2044,962.9333821686041,380.93751527706246,45.33809779139557,284.26944072996133,139.54461159720714,112.84371677297747,,,,
2045,969.2982316979733,383.4554568187399,45.63777602016376,286.1484203660909,140.4669811732314,113.58959731974721,,,,
2046,975.4225174657148,385.87823106918296,45.92612770905734,287.95638270523585,141.3544891718067,114.30728681043183,,,,
2047,981.3218788820275,388.2120249964331,46.20388921338614,289.69794468816593,142.2094019962608,114.99861798778139,,,,
2048,987.0216525574319,390.46686179174736,46.472253464817875,291.3805859850598,143.03539133099034,115.66655998481644,,,,
2049,992.524686716541,392.6438682159454,46.73135456721521,293.0051474258573,143.8328699297794,116.3114465777436,,,,
2050,997.6361236529129,394.6659583439788,46.97201797339382,294.5141046872169,144.57359976135226,116.91044288697103,,,,
2051,1002.9516569588827,396.76878922246425,47.22229091366382,296.0833136356766,145.34390645582275,117.53335673125518,,,,
2052,1007.881017065897,398.7188495546162,47.454381538746844,297.5385196413317,146.058250411795,118.11101591940714,,,,
2053,1012.6244857041789,400.5953710153141,47.67771977685892,298.93884826415683,146.74565568926278,118.66689095858618,,,,
2054,1017.1846386728974,402.39937259356947,47.89242690516916,300.2850599108455,147.40649556315995,119.20128370015324,,,,
2055,1021.5639972861306,404.13185172403143,48.098621635507826,301.57789890344134,148.04113541265008,119.71448961049987,,,,
2056,1025.7650283728685,405.7937842869877,48.296420114366526,302.8180934793388,148.64993272112682,120.20679777104851,,,,
2057,1029.7901442770114,407.38612460836407,48.48593592289811,304.0063557912831,149.23323707621356,120.67849087825246,,,,
2058,1033.6417028573715,408.90980545972485,48.667280076916725,305.14338190737004,149.79139016976382,121.12984524359585,,,,
2059,1037.3220074876706,410.3657380582723,48.84056102689776,306.22985181104593,150.32472579786085,121.56113079359358,,,,
2060,1040.833307056542,411.75481206684697,49.00588465797789,307.26642940110776,150.83356986081787,121.97261106979137,,,,
