Year,World
2012,549.0184471947126
2013,588.1218572646112
2014,626.7523633333333
2015,664.94061
2016,702.7435499999999
2017,733.9926442341699
2018,742.6090637215567
2019,751.0013859815415
2020,759.3028881268391
2021,767.0822586078408
2022,774.8986392104505
2023,782.4863519654365
2024,789.4040963226762
2025,795.8084799033875
2026,805.3391428330807
2027,815.4262303583499
2028,825.1203738583093
2029,834.4187926200983
2030,844.2996268188546
2031,851.8185861847826
2032,859.6170672001354
2033,867.015466573209
2034,874.0147159193228
2035,880.6546176823114
2036,886.807834784342
2037,892.6065478265585
2038,898.0156207992993
2039,903.0386786033272
2040,906.6164908438782
2041,911.9053051505342
2042,915.4103880807058
2043,918.5505433788171
2044,921.3309314181976
2045,923.7878611316353
2046,925.799342521221
2047,927.378932974241
2048,928.5500144550057
2049,929.3136020010636
2050,929.4731204932727
2051,929.8825132393129
2052,929.5357606716834
2053,928.8091573589684
2054,927.7070168014966
2055,926.233909442505
2056,924.3946631723047
2057,922.1943638321818
2058,919.6383557181607
2059,916.7322420852187
2060,913.4818856510037
