"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Eisted, R., Larsen, A. W., & Christensen, T. H. (2009). Collection, transfer and transport of waste: accounting of greenhouse gases and global warming contribution. Waste Management & Research, 27(8), 738-745.",http://journals.sagepub.com/doi/abs/10.1177/0734242X09347796,,,1  - Peer Reviewed,2009,,47.0,kg CO2-eq/tonne,47000.0,t CO2-eq/MMT,,"Emissions MSW collection, low",
"Eisted, R., Larsen, A. W., & Christensen, T. H. (2009). Collection, transfer and transport of waste: accounting of greenhouse gases and global warming contribution. Waste Management & Research, 27(8), 738-745.",http://journals.sagepub.com/doi/abs/10.1177/0734242X09347796,,,1  - Peer Reviewed,2009,,57.0,kg CO2-eq/tonne,57000.0,t CO2-eq/MMT,,"Emissions MSW collection, high",
"Friedrich and Trois, 2013",https://doi.org/10.1016/j.wasman.2013.05.010,Middle East and Africa,South Africa,1  - Peer Reviewed,2013,,88.9,kg CO2/t,88900.0,t CO2-eq/MMT,,glass,
"Friedrich and Trois, 2013",https://doi.org/10.1016/j.wasman.2013.05.010,Middle East and Africa,South Africa,1  - Peer Reviewed,2013,,178.0,kg CO2/t,178000.0,t CO2-eq/MMT,,metals,
"Friedrich and Trois, 2013",https://doi.org/10.1016/j.wasman.2013.05.010,Middle East and Africa,South Africa,1  - Peer Reviewed,2013,,178.0,kg CO2/t,178000.0,t CO2-eq/MMT,,plastic,
"Chen and Lo, 2016",https://doi.org/10.1016/j.jclepro.2015.11.058,Asia (Sans Japan),Taiwan,1  - Peer Reviewed,2016,,0.38,kg CO2/t,380.0,t CO2-eq/MMT,,,1.0
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,20.0,kg CO2/t,20000.0,t CO2-eq/MMT,,mixed waste,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,30.0,kg CO2/t,30000.0,t CO2-eq/MMT,,mixed waste,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,45.0,kg CO2/t,45000.0,t CO2-eq/MMT,,mixed waste ,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,28.6,kg CO2/t,28600.0,t CO2-eq/MMT,,"mixed waste, comparative study, Curtis and Dumas ",
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,EU,Denmark,1  - Peer Reviewed,2016,,11.9,kg CO2/t,11900.0,t CO2-eq/MMT,,"mixed waste, comparative study, Larsen et al., 2009 ",
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,EU,Denmark,1  - Peer Reviewed,2016,,28.5,kg CO2/t,28500.0,t CO2-eq/MMT,,"mixed waste, comparative study, Larsen et al., 2009 ",
Fitzgerald et al. 2012 (dual stream),https://doi.org/10.1016/j.resconrec.2012.08.006,USA,USA,1  - Peer Reviewed,2012,,58.31,kg CO2/tonne,58310.0,t CO2-eq/MMT,,,
Fitzgerald et al. 2012 (single stream),https://doi.org/10.1016/j.resconrec.2012.08.006,USA,USA,1  - Peer Reviewed,2012,,37.89,kg CO2/tonne,37890.0,t CO2-eq/MMT,,,
