Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,305.1710999999999,,,,,,,,,
2013,357.47,,,,,,,,,
2014,383.48351643127313,,,,,,,,,
2015,414.91859076888176,,,,,,,,,
2016,449.56200881227267,,,,,,,,,
2017,487.28819999425923,,,,,,,,,
2018,528.1429998779125,,,,,,,,,
2019,571.8462339840344,,,,,,,,,
2020,625.4286151089332,,,,,,,,,
2021,678.0194272024388,,,,,,,,,
2022,729.5268458987873,,,,,,,,,
2023,779.4679652496143,,,,,,,,,
2024,827.6198859678951,,,,,,,,,
2025,884.7154713801385,,,,,,,,,
2026,938.9425047826743,,,,,,,,,
2027,990.9738758568349,,,,,,,,,
2028,1041.2216884918653,,,,,,,,,
2029,1090.0024593711626,,,,,,,,,
2030,1147.3192294113267,,,,,,,,,
2031,1201.8582087082295,,,,,,,,,
2032,1254.3718701076803,,,,,,,,,
2033,1305.3104441017483,,,,,,,,,
2034,1355.0158317766054,,,,,,,,,
2035,1403.7765324394734,,,,,,,,,
2036,1450.7189640518568,,,,,,,,,
2037,1495.7608072086607,,,,,,,,,
2038,1538.8273886246932,,,,,,,,,
2039,1580.575331377969,,,,,,,,,
2040,1622.2733118166982,,,,,,,,,
2041,1662.5489101166934,,,,,,,,,
2042,1701.7681029321996,,,,,,,,,
2043,1740.1872683094923,,,,,,,,,
2044,1778.0139627499077,,,,,,,,,
2045,1815.4364759129842,,,,,,,,,
2046,1851.9463114043858,,,,,,,,,
2047,1887.8022703104107,,,,,,,,,
2048,1923.2123656032986,,,,,,,,,
2049,1958.3435694168907,,,,,,,,,
2050,1993.3497128753202,,,,,,,,,
2051,2039.0846468158838,,,,,,,,,
2052,2070.4548155722864,,,,,,,,,
2053,2100.3170430645314,,,,,,,,,
2054,2128.616927780679,,,,,,,,,
2055,2155.300029039352,,,,,,,,,
2056,2180.310338020591,,,,,,,,,
2057,2203.5917110636583,,,,,,,,,
2058,2225.0899774364343,,,,,,,,,
2059,2244.7516891760247,,,,,,,,,
2060,2262.5236264474543,,,,,,,,,
