Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,305.1710999999999,,,,,,,,,
2013,357.42170000000004,,,,,,,,,
2014,383.36553130265975,,,,,,,,,
2015,414.72039060137826,,,,,,,,,
2016,449.0086130641263,,,,,,,,,
2017,486.15394433352094,,,,,,,,,
2018,526.2156540200282,,,,,,,,,
2019,569.1372027196935,,,,,,,,,
2020,621.7801177887444,,,,,,,,,
2021,672.4249324493525,,,,,,,,,
2022,722.096901268315,,,,,,,,,
2023,770.3533556986491,,,,,,,,,
2024,816.4410440588807,,,,,,,,,
2025,871.085625485616,,,,,,,,,
2026,922.0613955888703,,,,,,,,,
2027,970.14150595884,,,,,,,,,
2028,1015.7572837475178,,,,,,,,,
2029,1059.2232460074958,,,,,,,,,
2030,1110.519971869519,,,,,,,,,
2031,1158.2689894786404,,,,,,,,,
2032,1203.159969666181,,,,,,,,,
2033,1245.5998755867977,,,,,,,,,
2034,1285.890894356557,,,,,,,,,
2035,1324.2802602634572,,,,,,,,,
2036,1360.386897570852,,,,,,,,,
2037,1394.6062159970465,,,,,,,,,
2038,1427.1849741852989,,,,,,,,,
2039,1458.0532159414524,,,,,,,,,
2040,1488.2161627999046,,,,,,,,,
2041,1516.452632026486,,,,,,,,,
2042,1543.0899589598519,,,,,,,,,
2043,1568.3378334133683,,,,,,,,,
2044,1592.3645727093553,,,,,,,,,
2045,1615.3079789812616,,,,,,,,,
2046,1636.8049559982433,,,,,,,,,
2047,1657.1411530821895,,,,,,,,,
2048,1676.48832559797,,,,,,,,,
2049,1694.9644260525997,,,,,,,,,
2050,1712.6744184349916,,,,,,,,,
2051,1785.5744637375535,,,,,,,,,
2052,1811.2404787568016,,,,,,,,,
2053,1836.2671621681636,,,,,,,,,
2054,1860.657703789607,,,,,,,,,
2055,1884.4148079968134,,,,,,,,,
2056,1907.5393532524288,,,,,,,,,
2057,1930.031634193835,,,,,,,,,
2058,1951.893194562257,,,,,,,,,
2059,1973.1257262785412,,,,,,,,,
2060,1993.7306260733603,,,,,,,,,
