Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,305.1710999999999,,,,,,,,,
2013,357.51830000000007,,,,,,,,,
2014,381.21139999999997,,,,,,,,,
2015,412.4984,,,,,,,,,
2016,447.23140000000006,,,,,,,,,
2017,485.2335,,,,,,,,,
2018,526.5373999999999,,,,,,,,,
2019,570.6461999999999,,,,,,,,,
2020,624.6636,,,,,,,,,
2021,679.1667000000001,,,,,,,,,
2022,732.5782,,,,,,,,,
2023,784.3856,,,,,,,,,
2024,834.9163000000002,,,,,,,,,
2025,894.8886,,,,,,,,,
2026,952.9694000000001,,,,,,,,,
2027,1009.7240999999999,,,,,,,,,
2028,1065.5485999999999,,,,,,,,,
2029,1120.7648000000004,,,,,,,,,
2030,1185.4134,,,,,,,,,
2031,1248.2584000000002,,,,,,,,,
2032,1310.114,,,,,,,,,
2033,1371.4649999999997,,,,,,,,,
2034,1432.6796999999997,,,,,,,,,
2035,1494.0783999999999,,,,,,,,,
2036,1554.2780999999998,,,,,,,,,
2037,1612.7110999999998,,,,,,,,,
2038,1668.9770999999996,,,,,,,,,
2039,1724.4808,,,,,,,,,
2040,1780.7834999999998,,,,,,,,,
2041,1836.3453,,,,,,,,,
2042,1891.5741,,,,,,,,,
2043,1946.7802,,,,,,,,,
2044,2002.2176000000004,,,,,,,,,
2045,2058.1341,,,,,,,,,
2046,2113.8663,,,,,,,,,
2047,2169.6552000000006,,,,,,,,,
2048,2225.757,,,,,,,,,
2049,2282.4011,,,,,,,,,
2050,2339.8042000000005,,,,,,,,,
2051,2362.679336565617,,,,,,,,,
2052,2404.782716029286,,,,,,,,,
2053,2444.618847239445,,,,,,,,,
2054,2482.0597722936445,,,,,,,,,
2055,2516.9775332894333,,,,,,,,,
2056,2549.24417232436,,,,,,,,,
2057,2578.731731495975,,,,,,,,,
2058,2605.3122529018274,,,,,,,,,
2059,2628.857778639466,,,,,,,,,
2060,2649.24035080644,,,,,,,,,
