"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2014,,89000000.0,2014 rmb/km,14459563.0,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2014,,110000000.0,2014 rmb/km,17871370.0,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2014,,110000000.0,2014 rmb/km,17871370.0,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2014,,123000000.0,2012 rmb/km,20077197.75,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,France,2 - Public Sector/ Multilateral Agency,2014,,31000000.0,2012 $/km,31930000.0,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,France,2 - Public Sector/ Multilateral Agency,2014,,24800000.0,2014 $/km,,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,France,2 - Public Sector/ Multilateral Agency,2014,,25900000.0,2014 $/km,,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,France,2 - Public Sector/ Multilateral Agency,2014,,30400000.0,2014 $/km,,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,France,2 - Public Sector/ Multilateral Agency,2014,,30800000.0,2014 $/km,,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
"Ollivier, Sondhi, & Zhou (World Bank)",http://documents.worldbank.org/curated/en/695111468024545450/High-speed-railways-in-China-a-look-at-construction-costs,OECD90,Spain,2 - Public Sector/ Multilateral Agency,2014,,27000000.0,2012 $/km,27810000.0,US2014$/HSR: km of track OR Air: Available Seat-km (ASK),,,
