"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Eurostat 2016,http://ec.europa.eu/eurostat/statistics-explained/index.php/Recycling_%E2%80%93_secondary_material_price_indicator,OECD90,EU-28,2 - Public Sector/ Multilateral Agency,2013,,45.0,EUR/tonne,61047000.00000001,US$2014 per Million Metric t of Recyclable MSW,0.033783783783783786,Glass,
Eurostat 2016,http://ec.europa.eu/eurostat/statistics-explained/index.php/Recycling_%E2%80%93_secondary_material_price_indicator,OECD90,EU-28,2 - Public Sector/ Multilateral Agency,2013,,50.0,EUR/tonne,67830000.0,US$2014 per Million Metric t of Recyclable MSW,0.033783783783783786,Glass,
Eurostat 2016,http://ec.europa.eu/eurostat/statistics-explained/index.php/Recycling_%E2%80%93_secondary_material_price_indicator,OECD90,EU-28,2 - Public Sector/ Multilateral Agency,2013,,350.0,EUR/tonne,474810000.0,US$2014 per Million Metric t of Recyclable MSW,0.13513513513513514,Plastic,
Eurostat 2016,http://ec.europa.eu/eurostat/statistics-explained/index.php/Recycling_%E2%80%93_secondary_material_price_indicator,OECD90,EU-28,2 - Public Sector/ Multilateral Agency,2013,,370.0,EUR/tonne,501942000.0,US$2014 per Million Metric t of Recyclable MSW,0.13513513513513514,Plastic,
Platts 2013 Australian scrap metal prices,https://www.platts.com/im.platts.content/productsservices/products/plattssteelrawmaterialsmonthly.pdf,OECD90,Australia,3 - For Profit,2015,,60.0,US$/Metric Tonne,59928599.99999999,US$2014 per Million Metric t of Recyclable MSW,0.036036036036036036,Metal,
Letsrecycle 2016 Metal,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2015,,45.0,£ per tonne,29215192.5,US$2014 per Million Metric t of Recyclable MSW,0.036036036036036036,Metal,
Letsrecycle 2016 Metal,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2015,,155.0,£ per tonne,100630107.5,US$2014 per Million Metric t of Recyclable MSW,0.036036036036036036,Metal,
Letsrecycle 2016 - Cars - other,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2015,,18.0,£ per tonne,11686077.000000002,US$2014 per Million Metric t of Recyclable MSW,0.20000000000000004,other,
Letsrecycle 2016 - Cars - other,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2015,,65.0,£ per tonne,42199722.5,US$2014 per Million Metric t of Recyclable MSW,0.20000000000000004,other,
Letsrecycle 2016 Glass,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2016,,-31.0,£ per tonne,-19885737.15410077,US$2014 per Million Metric t of Recyclable MSW,0.033783783783783786,Glass,
Letsrecycle 2016 Glass,http://www.letsrecycle.com/prices/metals/ferrous-metal-prices/ferrous-metal-prices-2015/,OECD90,UK,3 - For Profit,2016,,-10.0,£ per tonne,-6414753.920677667,US$2014 per Million Metric t of Recyclable MSW,0.033783783783783786,Glass,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,50.0,$/tonne,50000000.0,US$2014 per Million Metric t of Recyclable MSW,1.0,mixed waste,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,100.0,$/tonne,100000000.0,US$2014 per Million Metric t of Recyclable MSW,1.0,mixed waste,
"Maimoun et al., 2016",https://doi.org/10.1016/j.wasman.2016.04.025,USA,USA,1  - Peer Reviewed,2016,,150.0,$/tonne,150000000.0,US$2014 per Million Metric t of Recyclable MSW,1.0,mixed waste,
