Year,World
2012,
2013,
2014,43923560212.966324
2015,44604733665.91058
2016,45410358121.52807
2017,46241046863.380486
2018,47093927365.61945
2019,47964325383.44226
2020,48848618709.90245
2021,49745600695.39519
2022,50655954498.93337
2023,51580060428.20442
2024,52518921563.37758
2025,53473083748.378525
2026,54442711231.35106
2027,55426741660.22407
2028,56423073625.01844
2029,57428895377.98464
2030,58442209337.66408
2031,59348394337.49713
2032,60258945560.38004
2033,61175262493.98117
2034,62099549208.71833
2035,63033708203.907814
2036,63978361444.95531
2037,64933878268.112755
2038,65901730477.54569
2039,66883615758.41747
2040,67881006110.32471
2041,68894831408.2375
2042,69925733571.98547
2043,70974510077.0094
2044,72041849154.47388
2045,73128311566.12173
2046,74234449458.74414
2047,75360591798.55841
2048,76506711969.9668
2049,77672561342.82043
2050,78857903114.68604
2051,80062936768.49416
2052,81287700034.66986
2053,82531544579.50443
2054,83793568851.81142
2055,85073121932.21245
2056,86370173794.41725
2057,87684995233.94241
2058,89017641265.18988
2059,90368267168.56638
2060,91737189829.82135
