"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,0.011191874999999962,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Fodder Cultivation , Subsistence, 60% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,0.0126,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Fodder Cultivation , Commerical,  60% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,0.06810375000000002,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Balanced Feed Ration , Subsistence,  60% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,0.024569999999999995,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Balanced Feed Ration , Commerical, 60% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,0.07255600000000001,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement with fodder trees and low cost concentrate , Coconut Triangle Region, 88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,0.047652,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement with fodder trees and low cost concentrate , Wet Lowland Region,, 88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,0.14079449999999996,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement with fodder trees and low cost concentrate , Dry Lowland Region,, 88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.004215749999999997,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Forage legumes and fodder trees , Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.027511000000000008,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Forage legumes and fodder trees , Semi-Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.011607750000000007,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement with sweet potato vines, sorgum silage, dairy meal , Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.05039924999999999,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement with sweet potato vines, sorgum silage, dairy meal , Semi-Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.020696500000000007,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement high protein and energy concentrates , Extensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.007328749999999981,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement high protein and energy concentrates , Semi-Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,0.0071032499999999985,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplement high protein and energy concentrates , Intensive,  88% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,0.3346672500000001,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplementation with leguminous shrubs , Rural Mixed Crop-Livestock,  87% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,0.10431028125000003,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Supplementation with leguminous shrubs , Pastoral and Agro-Pastoral, 87% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,0.52867725,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Suplementation with urea treated straw and rice bran , Rural Mixed Crop-Livestock, 87% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,0.06291731249999996,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Suplementation with urea treated straw and rice bran , Small-scale Commerical Dairy, 87% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,0.01642668750000001,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Suplementation with urea treated straw and rice bran , Medium-scale Commercial Dairy, 87% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/tanzania/en/,Middle East and Africa,Tanzania,2 - Public Sector/ Multilateral Agency,2017,,0.24733800000000006,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Intensive Fodder Gardens , Traditional Dairy system (natural pastures), 91% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/tanzania/en/,Middle East and Africa,Tanzania,2 - Public Sector/ Multilateral Agency,2017,,0.008258249999999995,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Intensive Fodder Gardens , Improved Breeding, , 91% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/tanzania/en/,Middle East and Africa,Tanzania,2 - Public Sector/ Multilateral Agency,2017,,0.22768200000000005,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Traditional Dairy system (natural pastures), , 91% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/tanzania/en/,Middle East and Africa,Tanzania,2 - Public Sector/ Multilateral Agency,2017,,0.006463187500000002,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Improved Dairy system, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.00580156250000001,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Small-scale Intensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.0005530000000000049,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Medium-scale Intensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.005120187499999998,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Small-scale Extensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.007596343749999998,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Improved Tolerant Forages , Small-scale Extensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.017296062500000015,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Legume Grass Intercropping , Medium-scale Extensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.027857375000000018,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Improved Tolerant Forages , Medium-scale Extensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.003826562500000019,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Conservation of Fodder , Medium-scale Extensive, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.05776874999999998,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Improved Tolerant Forages , Agro-Pastoral, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/uganda/en/,Middle East and Africa,Uganda,2 - Public Sector/ Multilateral Agency,2017,,0.051991874999999965,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Conservation of Fodder , Agro-Pastoral, 79% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/west-africa/benin/en/,Middle East and Africa,Benin,2 - Public Sector/ Multilateral Agency,2017,,0.08568787500000008,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Use of Conserved Fodder , Agro-Pastoral, 93% emissions from CH4 enteric methane",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/west-africa/benin/en/,Middle East and Africa,Benin,2 - Public Sector/ Multilateral Agency,2017,,0.2765296875000003,t CH4-CO2eq / kg protein,,t CH4-CO2eq per kg of protein,,"Use of Conserved Fodder , Pastoral, 93% emissions from CH4 enteric methane",
