"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303615,World,Global,2 - Public Sector/ Multilateral Agency,2010,,944929928440.1757,kg CO2-eq,0.03240155525269456,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303616,Asia (Sans Japan),East Asia and Southeast Asia,2 - Public Sector/ Multilateral Agency,2010,,91772321212.79138,kg CO2-eq,0.030720412561036997,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303617,Eastern Europe,Eastern Europe,2 - Public Sector/ Multilateral Agency,2010,,18629226288.507416,kg CO2-eq,0.013884921771588872,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303618,Latin America,Latin America and the Caribbean,2 - Public Sector/ Multilateral Agency,2010,,501350536310.91486,kg CO2-eq,0.08724335508724688,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303619,Middle East and Africa,Near East and North Africa,2 - Public Sector/ Multilateral Agency,2010,,26683560987.986435,kg CO2-eq,0.013941162294919797,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303620,OECD90,North America,2 - Public Sector/ Multilateral Agency,2010,,70515033249.59358,kg CO2-eq,0.014256973850388448,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303621,OECD90,Oceania,2 - Public Sector/ Multilateral Agency,2010,,20350254095.8836,kg CO2-eq,0.017193006734766952,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303622,Eastern Europe,Russian Federation,2 - Public Sector/ Multilateral Agency,2010,,14321050245.249418,kg CO2-eq,0.012932086580602502,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303623,Asia (Sans Japan),South Asia,2 - Public Sector/ Multilateral Agency,2010,,111064451480.37065,kg CO2-eq,0.033533154856383335,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
FAO. 2017. Global Livestock Environmental Assessment Model (GLEAM),http://www.fao.org/gleam/results/en/#c303624,Middle East and Africa,Sub-Saharan Africa,2 - Public Sector/ Multilateral Agency,2010,,6428052333.507435,kg CO2-eq,0.005939790161327428,t CO2-eq/ kg of protein,,"All cattle systems (grassland, mixed, and feedlots) aggregated, all proteins (meat and milk) aggregated",
