"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,OECD90,Western Europe,2 - Public Sector/ Multilateral Agency,2013,,29.89,US$2013/100 kg of milk,9.5274375,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,OECD90,North America,2 - Public Sector/ Multilateral Agency,2013,,28.05,US$2013/100 kg of milk,8.9409375,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Middle East and Africa,Mid-East,2 - Public Sector/ Multilateral Agency,2013,,39.75,US$2013/100 kg of milk,12.6703125,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Middle East and Africa,Africa,2 - Public Sector/ Multilateral Agency,2013,,19.52,US$2013/100 kg of milk,6.2219999999999995,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Eastern Europe,CEEC,2 - Public Sector/ Multilateral Agency,2013,,21.84,US$2013/100 kg of milk,6.9615,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Latin America,South America,2 - Public Sector/ Multilateral Agency,2013,,23.68,US$2013/100 kg of milk,7.548,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Asia (Sans Japan),Asia,2 - Public Sector/ Multilateral Agency,2013,,33.6,US$2013/100 kg of milk,10.71,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,OECD90,Oceania,2 - Public Sector/ Multilateral Agency,2013,,22.1,US$2013/100 kg of milk,7.0443750000000005,US$2014/ kg of protein,,Estimated average share of feed cost (pg. 19),
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,World,World,2 - Public Sector/ Multilateral Agency,2013,,32.4,US$2013/100 kg of milk,10.3275,US$2014/ kg of protein,,Estimated from 0.3 kg of soybean meal price and 0.7 kg of corn price,
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,OECD90,Germany,2 - Public Sector/ Multilateral Agency,2013,,37.7,US$2013/100 kg of milk,12.016874999999999,US$2014/ kg of protein,,Estimated from 0.3 kg of soybean meal price and 0.7 kg of corn price,
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Eastern Europe,Poland,2 - Public Sector/ Multilateral Agency,2013,,35.0,US$2013/100 kg of milk,11.15625,US$2014/ kg of protein,,Estimated from 0.3 kg of soybean meal price and 0.7 kg of corn price,
IFCN 2014 Report,https://ifcndairy.org/wp-content/uploads/2020/06/IFCN-Dairy-Report-2014_web.pdf,Eastern Europe,Ukraine,2 - Public Sector/ Multilateral Agency,2013,,24.9,US$2013/100 kg of milk,7.936875,US$2014/ kg of protein,,Estimated from 0.3 kg of soybean meal price and 0.7 kg of corn price,
