"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,12.7,kg CO2eq/ kg of Fat Protein Corrected Milk,0.07024687499999999,t CO2-eq/ kg of protein,,"Fodder Cultivation , Subsistence, 17.7% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,5.6,kg CO2eq/ kg of Fat Protein Corrected Milk,0.030975,t CO2-eq/ kg of protein,,"Fodder Cultivation , Commerical,  17.7% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,12.7,kg CO2eq/ kg of Fat Protein Corrected Milk,0.07024687499999999,t CO2-eq/ kg of protein,,"Balanced Feed Ration , Subsistence,  17.7% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/bangladesh/en/,Asia (Sans Japan),Bangladesh,2 - Public Sector/ Multilateral Agency,2017,,5.6,kg CO2eq/ kg of Fat Protein Corrected Milk,0.030975,t CO2-eq/ kg of protein,,"Balanced Feed Ration , Commerical, 17.7% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,6.8,kg CO2eq/ kg of Fat Protein Corrected Milk,0.011049999999999999,t CO2-eq/ kg of protein,,"Supplement with fodder trees and low cost concentrate , Coconut Triangle Region, 5.2% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,4.8,kg CO2eq/ kg of Fat Protein Corrected Milk,0.007799999999999998,t CO2-eq/ kg of protein,,"Supplement with fodder trees and low cost concentrate , Wet Lowland Region,, 5.2% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/south-asia/sri-lanka/en/,Asia (Sans Japan),Sri Lanka,2 - Public Sector/ Multilateral Agency,2017,,13.8,kg CO2eq/ kg of Fat Protein Corrected Milk,0.022425000000000004,t CO2-eq/ kg of protein,,"Supplement with fodder trees and low cost concentrate , Dry Lowland Region,, 5.2% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,2.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0005250000000000001,t CO2-eq/ kg of protein,,"Forage legumes and fodder trees , Intensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,4.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0010249999999999999,t CO2-eq/ kg of protein,,"Forage legumes and fodder trees , Semi-Intensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,2.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0005250000000000001,t CO2-eq/ kg of protein,,"Supplement with sweet potato vines, sorgum silage, dairy meal , Intensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,4.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0010249999999999999,t CO2-eq/ kg of protein,,"Supplement with sweet potato vines, sorgum silage, dairy meal , Semi-Intensive, 0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,7.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0017749999999999999,t CO2-eq/ kg of protein,,"Supplement high protein and energy concentrates , Extensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,4.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0010249999999999999,t CO2-eq/ kg of protein,,"Supplement high protein and energy concentrates , Semi-Intensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/kenya/en/,Middle East and Africa,Kenya,2 - Public Sector/ Multilateral Agency,2017,,2.1,kg CO2eq/ kg of Fat Protein Corrected Milk,0.0005250000000000001,t CO2-eq/ kg of protein,,"Supplement high protein and energy concentrates , Intensive,  0.8% emissions from CO2 feed production, transport, & processing",
FAO. 2017. Reducing Enteric Methane for improving food security and livelihoods,http://www.fao.org/in-action/enteric-methane/participating-countries/east-africa/ethiopia/en/,Middle East and Africa,Ethiopia,2 - Public Sector/ Multilateral Agency,2017,,44.6,kg CO2eq/ kg of Fat Protein Corrected Milk,0.005575,t CO2-eq/ kg of protein,,"Supplementation with leguminous shrubs , Rural Mixed Crop-Livestock,  0.4% emissions from CO2 feed production, transport, & processing",
