VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low
1,Current_Adoption,Current Adoption,True,False,20.308819914652318,20.308819914652318,20.308819914652318
2,CONVENTIONAL_First_Cost_per_Implementation_Unit_for_replaced_practices_technologies,CONVENTIONAL First Cost per Implementation Unit for replaced practices/technologies,True,True,2.244197444422268,5.046775820498448,0.0
3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,True,40.98520539870459,61.834550901137575,20.13585989627161
4,Lifetime_Capacity_CONVENTIONAL,Lifetime Capacity - CONVENTIONAL,True,True,3.336973917181041e-06,6.295869640188995e-06,3.780781941730871e-07
5,Lifetime_Capacity_SOLUTION,Lifetime Capacity - SOLUTION,True,False,7.385025423509934e-06,8.727757318693558e-06,6.042293528326309e-06
6,Average_Annual_Use_CONVENTIONAL,Average Annual Use - CONVENTIONAL,True,True,1.6784148689795303e-06,2.2256128115758125e-06,1.131216926383248e-06
7,Average_Annual_Use_SOLUTION,Average Annual Use - SOLUTION,True,True,1.6784148689795303e-06,2.2256128115758125e-06,1.131216926383248e-06
8,CONVENTIONAL_VARIABLE_Operating_Cost_per_Functional_Unit,CONVENTIONAL VARIABLE Operating Cost per Functional Unit,True,True,47441302.14387516,75658971.63995041,19223632.64779991
9,SOLUTION_VARIABLE_Operating_Cost_per_Functional_Unit,SOLUTION VARIABLE Operating Cost per Functional Unit ,True,True,35457401.27150837,60938927.579491645,9975874.963525102
10,CONVENTIONAL_FIXED_Operating_Cost_per_Implementation_Unit,CONVENTIONAL FIXED Operating Cost per Implementation Unit,False,False,,,
11,SOLUTION_FIXED_Operating_Cost_per_Implementation_Unit,SOLUTION FIXED Operating Cost per Implementation Unit ,False,False,,,
12,Electricty_Consumed_per_Functional_Unit_CONVENTIONAL,Electricty Consumed per Functional Unit - CONVENTIONAL,False,False,,,
13,Energy_Efficiency_Factor_SOLUTION,Energy Efficiency Factor - SOLUTION,False,False,,,
14,Total_Energy_Used_per_functional_unit_SOLUTION,Total Energy Used per functional unit - SOLUTION,False,False,,,
15,Fuel_Consumed_per_Functional_Unit_CONVENTIONAL,Fuel Consumed per Functional Unit - CONVENTIONAL,True,True,29951.338607426536,41791.133180953446,18111.544033899623
16,Fuel_Efficiency_Factor_SOLUTION,Fuel Efficiency Factor - SOLUTION,True,True,0.3272881787793187,0.44493421890777146,0.20964213865086595
17,Direct_Emissions_per_CONVENTIONAL_Functional_Unit,Direct Emissions per CONVENTIONAL Functional Unit,True,True,397266.51783172233,726958.1161439535,67574.9195194912
18,Direct_Emissions_per_SOLUTION_Functional_Unit,Direct Emissions per SOLUTION Functional Unit,True,True,91249.09995998969,7.0,7.0
19,Indirect_CO2_Emissions_per_CONVENTIONAL_Implementation_OR_functional_Unit_CHOOSE_ONLY_ONE_on_Advanced_Controls,Indirect CO2 Emissions per CONVENTIONAL Implementation OR functional Unit -- CHOOSE ONLY ONE on Advanced Controls,False,False,,,
20,Indirect_CO2_Emissions_per_SOLUTION_Implementation_Unit_Select_on_Advanced_Controls,Indirect CO2 Emissions per SOLUTION Implementation Unit (Select on Advanced Controls),False,False,,,
21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,
22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,
23,CONVENTIONAL_Revenue_per_Functional_Unit,CONVENTIONAL Revenue per Functional Unit,False,False,,,
24,SOLUTION_Revenue_per_Functional_Unit,SOLUTION Revenue per Functional Unit,False,False,,,
25,t_CO2_eq_per_Metric_ton_of_fuel,t CO2 eq per Metric ton of fuel,True,True,1.491762970920902,2.4339100069138695,0.5496159349279341
26,PM2_5_for_traditional_stove,PM2.5 for traditional stove,True,True,0.31231481506466663,0.433116641619852,0.19151298850948123
27,PM_2_5_for_improved_stove,PM 2.5 for improved stove,True,False,0.04212962966333333,0.07147636951504298,0.01278288981162368
28,Black_carbon_GWP,Black carbon GWP,True,False,660.0,821.9670748434179,498.0329251565821
29,Kerosene_Heating_Oil_Spot_Price,Kerosene (Heating Oil) Spot Price,True,False,0.2635739550030116,0.2635739550030116,0.2635739550030116
30,Adoption_Data_Low_Sensitivity_around_Mean,Adoption Data Low Sensitivity around Mean,True,False,1.0,1.0,1.0
31,Adoption_Data_High_Sensitivity_around_Mean,Adoption Data High Sensitivity around Mean,True,False,1.0,1.0,1.0
