Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,31.275333523840935,,,,,,,,,
2015,33.62573589462595,,,,,,,,,
2016,35.97613826541097,,,,,,,,,
2017,38.32654063619598,,,,,,,,,
2018,40.67694300698099,,,,,,,,,
2019,47.935553015442565,,,,,,,,,
2020,55.194163023905276,,,,,,,,,
2021,62.452773032367986,,,,,,,,,
2022,69.71138304082888,,,,,,,,,
2023,76.96999304928977,,,,,,,,,
2024,84.22860305775248,,,,,,,,,
2025,91.48721306621519,,,,,,,,,
2026,98.74582307467608,,,,,,,,,
2027,106.00443308313697,,,,,,,,,
2028,111.0,,,,,,,,,
2029,111.0,,,,,,,,,
2030,111.0,,,,,,,,,
2031,111.0,,,,,,,,,
2032,111.0,,,,,,,,,
2033,111.0,,,,,,,,,
2034,111.0,,,,,,,,,
2035,111.0,,,,,,,,,
2036,111.0,,,,,,,,,
2037,111.0,,,,,,,,,
2038,111.0,,,,,,,,,
2039,111.0,,,,,,,,,
2040,111.0,,,,,,,,,
2041,111.0,,,,,,,,,
2042,111.0,,,,,,,,,
2043,111.0,,,,,,,,,
2044,111.0,,,,,,,,,
2045,111.0,,,,,,,,,
2046,111.0,,,,,,,,,
2047,111.0,,,,,,,,,
2048,111.0,,,,,,,,,
2049,111.0,,,,,,,,,
2050,111.0,,,,,,,,,
2051,111.0,,,,,,,,,
2052,111.0,,,,,,,,,
2053,111.0,,,,,,,,,
2054,111.0,,,,,,,,,
2055,111.0,,,,,,,,,
2056,111.0,,,,,,,,,
2057,111.0,,,,,,,,,
2058,111.0,,,,,,,,,
2059,111.0,,,,,,,,,
2060,111.0,,,,,,,,,
