Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,488.867,,,,,,,,,
2013,491.88,,,,,,,,,
2014,547.672,,,,,,,,,
2015,548.8127205474134,,,,,,,,,
2016,549.3830808211201,,,,,,,,,
2017,549.6682609579734,,,,,,,,,
2018,549.8108510264001,,,,,,,,,
2019,549.8821460606134,,,,,,,,,
2020,549.91779357772,,,,,,,,,
2021,549.9356173362733,,,,,,,,,
2022,549.9445292155499,,,,,,,,,
2023,549.9489851551882,,,,,,,,,
2024,549.9534410948266,,,,,,,,,
2025,557.2892698485016,,,,,,,,,
2026,565.0186990201505,,,,,,,,,
2027,573.1017772456306,,,,,,,,,
2028,581.4985531607992,,,,,,,,,
2029,590.1690754015136,,,,,,,,,
2030,600.0430414398236,,,,,,,,,
2031,608.1715534030089,,,,,,,,,
2032,617.4236064355046,,,,,,,,,
2033,626.7896003369749,,,,,,,,,
2034,636.2295837432777,,,,,,,,,
2035,645.7036052902699,,,,,,,,,
2036,655.1717136138091,,,,,,,,,
2037,664.5939573497521,,,,,,,,,
2038,673.9303851339567,,,,,,,,,
2039,683.14104560228,,,,,,,,,
2040,692.0001532892877,,,,,,,,,
2041,701.0252591347119,,,,,,,,,
2042,709.618909470535,,,,,,,,,
2043,717.9269870339059,,,,,,,,,
2044,725.909540460682,,,,,,,,,
2045,733.5266183867205,,,,,,,,,
2046,740.7382694478789,,,,,,,,,
2047,747.5045422800142,,,,,,,,,
2048,753.7854855189838,,,,,,,,,
2049,759.541147800645,,,,,,,,,
2050,764.1349202806466,,,,,,,,,
2051,769.3168240354714,,,,,,,,,
2052,773.2569352603512,,,,,,,,,
2053,776.5119600713517,,,,,,,,,
2054,779.0419471043302,,,,,,,,,
2055,780.8069449951442,,,,,,,,,
2056,781.7670023796508,,,,,,,,,
2057,781.8821678937072,,,,,,,,,
2058,781.112490173171,,,,,,,,,
2059,779.4180178538992,,,,,,,,,
2060,777.9392442961268,,,,,,,,,
