Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,488.867,,,,,,,,,
2013,491.88,,,,,,,,,
2014,547.672,,,,,,,,,
2015,590.7025331846721,,,,,,,,,
2016,612.2177997770082,,,,,,,,,
2017,622.9754330731762,,,,,,,,,
2018,628.3542497212602,,,,,,,,,
2019,631.0436580453022,,,,,,,,,
2020,632.3883622073232,,,,,,,,,
2021,633.0607142883337,,,,,,,,,
2022,633.3968903288389,,,,,,,,,
2023,633.5649783490916,,,,,,,,,
2024,633.7330663693442,,,,,,,,,
2025,633.9324184485123,,,,,,,,,
2026,643.2563546173801,,,,,,,,,
2027,646.974429610369,,,,,,,,,
2028,650.0847964030589,,,,,,,,,
2029,652.6534584107397,,,,,,,,,
2030,654.9580730732437,,,,,,,,,
2031,656.429681732234,,,,,,,,,
2032,657.7692498766278,,,,,,,,,
2033,658.8311268971727,,,,,,,,,
2034,659.6813162091587,,,,,,,,,
2035,660.3858212278758,,,,,,,,,
2036,661.0106453686142,,,,,,,,,
2037,661.6217920466639,,,,,,,,,
2038,662.285264677315,,,,,,,,,
2039,663.0670666758576,,,,,,,,,
2040,663.8721808927919,,,,,,,,,
2041,665.249672437777,,,,,,,,,
2042,666.782483031734,,,,,,,,,
2043,668.6976366547428,,,,,,,,,
2044,671.0611367220931,,,,,,,,,
2045,673.9389866490753,,,,,,,,,
2046,677.3971898509792,,,,,,,,,
2047,681.5017497430949,,,,,,,,,
2048,686.3186697407127,,,,,,,,,
2049,691.9139532591223,,,,,,,,,
2050,696.6382805964399,,,,,,,,,
2051,705.7036245194774,,,,,,,,,
2052,714.0300190920033,,,,,,,,,
2053,723.3987908464811,,,,,,,,,
2054,733.8759431982014,,,,,,,,,
2055,745.5274795624537,,,,,,,,,
2056,758.4194033545284,,,,,,,,,
2057,772.6177179897153,,,,,,,,,
2058,788.1884268833048,,,,,,,,,
2059,805.1975334505871,,,,,,,,,
2060,823.7110411068514,,,,,,,,,
