Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,488.87,,,,,,,,,
2013,491.88,,,,,,,,,
2014,547.67,,,,,,,,,
2015,580.7,,,,,,,,,
2016,610.0999999999999,,,,,,,,,
2017,643.228,,,,,,,,,
2018,676.356,,,,,,,,,
2019,678.7257193999217,,,,,,,,,
2020,681.0954387998434,,,,,,,,,
2021,697.6091124035252,,,,,,,,,
2022,712.8439105430992,,,,,,,,,
2023,726.8695584607057,,,,,,,,,
2024,739.7557813984847,,,,,,,,,
2025,751.5723045985766,,,,,,,,,
2026,762.3888533031216,,,,,,,,,
2027,772.2751527542596,,,,,,,,,
2028,781.3009281941313,,,,,,,,,
2029,789.5359048648766,,,,,,,,,
2030,789.66374345121,,,,,,,,,
2031,797.1624157476497,,,,,,,,,
2032,804.0989021201246,,,,,,,,,
2033,810.5372626272233,,,,,,,,,
2034,816.5415573275337,,,,,,,,,
2035,822.1758462796442,,,,,,,,,
2036,827.5041895421432,,,,,,,,,
2037,832.5906471736184,,,,,,,,,
2038,837.4992792326586,,,,,,,,,
2039,842.2941457778517,,,,,,,,,
2040,847.0393068677857,,,,,,,,,
2041,851.7988225610493,,,,,,,,,
2042,856.6367529162305,,,,,,,,,
2043,861.6171579919173,,,,,,,,,
2044,866.8040978466984,,,,,,,,,
2045,872.1,,,,,,,,,
2046,878.0538221278952,,,,,,,,,
2047,884.2447266714876,,,,,,,,,
2048,890.8984062285267,,,,,,,,,
2049,898.078920857601,,,,,,,,,
2050,909.3,,,,,,,,,
2051,916.276695566208,,,,,,,,,
2052,923.4220757629168,,,,,,,,,
2053,933.3505312660137,,,,,,,,,
2054,944.1261221340868,,,,,,,,,
2055,959.1,,,,,,,,,
2056,968.4749501995144,,,,,,,,,
2057,982.1763075140457,,,,,,,,,
2058,996.9810404279058,,,,,,,,,
2059,1012.9532089996829,,,,,,,,,
2060,1021.4,,,,,,,,,
