Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,547.6719999997877,,,,,,,,,
2015,564.2756770825945,,,,,,,,,
2016,582.1133472211659,,,,,,,,,
2017,601.1850104164332,,,,,,,,,
2018,621.4906666660681,,,,,,,,,
2019,643.0303159714676,,,,,,,,,
2020,665.8039583330974,,,,,,,,,
2021,689.8115937495604,,,,,,,,,
2022,715.0532222213224,,,,,,,,,
2023,741.5288437497802,,,,,,,,,
2024,769.2384583330713,,,,,,,,,
2025,798.1820659716614,,,,,,,,,
2026,828.359666666016,,,,,,,,,
2027,859.7712604166009,,,,,,,,,
2028,892.4168472215533,,,,,,,,,
2029,926.296427082736,,,,,,,,,
2030,961.4099999996834,,,,,,,,,
2031,997.7575659719296,,,,,,,,,
2032,1035.3391249994747,,,,,,,,,
2033,1074.1546770832501,,,,,,,,,
2034,1114.2042222218588,,,,,,,,,
2035,1155.487760416232,,,,,,,,,
2036,1198.0052916659042,,,,,,,,,
2037,1241.7568159718066,,,,,,,,,
2038,1286.742333333008,,,,,,,,,
2039,1332.9618437490426,,,,,,,,,
2040,1380.4153472222388,,,,,,,,,
2041,1429.1028437498026,,,,,,,,,
2042,1479.0243333326653,,,,,,,,,
2043,1530.1798159722239,,,,,,,,,
2044,1582.56929166615,,,,,,,,,
2045,1636.192760415841,,,,,,,,,
2046,1691.0502222212963,,,,,,,,,
2047,1747.141677082982,,,,,,,,,
2048,1804.4671249995008,,,,,,,,,
2049,1863.0265659713186,,,,,,,,,
2050,1922.8199999998324,,,,,,,,,
2051,1983.8474270827137,,,,,,,,,
2052,2046.1088472213596,,,,,,,,,
2053,2109.60426041577,,,,,,,,,
2054,2174.333666666411,,,,,,,,,
2055,2240.297065971419,,,,,,,,,
2056,2307.494458332658,,,,,,,,,
2057,2375.925843749661,,,,,,,,,
2058,2445.591222221963,,,,,,,,,
2059,2516.4905937490985,,,,,,,,,
2060,2588.6239583333954,,,,,,,,,
