"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Garcia Gusano (2016) Integration of life-cycle indicators into energy optimisation models:
the case study of power generation in Norway",http://www.sciencedirect.com/science/article/pii/S0959652615015462,EU,Norway,,1  - Peer Reviewed,2015,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
"IPCC WG3 AR5, Hydropower median  (Table A.III.2)",https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf,World,,,1  - Peer Reviewed,2014,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,1.0
NTEL (2013) Power Generation Technology Comparsion from a LCA,https://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/Technology-Assessment-Compilation-Report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
NTEL (2013) Power Generation Technology Comparsion from a LCA,https://www.netl.doe.gov/File%20Library/Research/Energy%20Analysis/Life%20Cycle%20Analysis/Technology-Assessment-Compilation-Report.pdf,USA,,,2 - Public Sector/ Multilateral Agency,2014,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2013_Masanet et al. Life Cycle  Assessment of Electric Power Systems,http://www.annualreviews.org/doi/pdf/10.1146/annurev-environ-010710-100408,World,,,1  - Peer Reviewed,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2013_Masanet et al. Life Cycle  Assessment of Electric Power Systems,http://www.annualreviews.org/doi/pdf/10.1146/annurev-environ-010710-100409,World,,,1  - Peer Reviewed,2013,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2009_Varun et al. LCA of RES for Electricity generation systems,http://www.sciencedirect.com/science/article/pii/S1364032108001093,World,,,1  - Peer Reviewed,2009,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2009_Varun et al. LCA of RES for Electricity generation systems,http://www.sciencedirect.com/science/article/pii/S1364032108001093,World,,,1  - Peer Reviewed,2009,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
 2009_Rule et al. Comparison of Life Cycle Carbon Dioxide Emissions and Embodied Energy in Four Renewable Electricity Generation Technologies in New Zealand,https://www.ncbi.nlm.nih.gov/pubmed/19746744,OECD90,New Zealand,,1  - Peer Reviewed,2009,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2006_Pehnt_ Dynamic life cycle assessment (LCA) of renewable energy technologies,http://www.sciencedirect.com/science/article/pii/S0960148105000662,World,,,1  - Peer Reviewed,2006,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
2006_Pehnt_ Dynamic life cycle assessment (LCA) of renewable energy technologies,http://www.sciencedirect.com/science/article/pii/S0960148105000662,World,,,1  - Peer Reviewed,2006,,,g-CO2eq/kWh,0.0,t CO2-eq/ TWh,,,
JRC ETRI (2014) HydroPower less than 10 MW (Table 13),http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,,2 - Public Sector/ Multilateral Agency,2014,,,t CO2/GWh,0.0,t CO2-eq/ TWh,,,
JRC ETRI (2014) HydroPower Run of River (Table 14),http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,,2 - Public Sector/ Multilateral Agency,2014,,,t CO2/GWh,0.0,t CO2-eq/ TWh,,,
"Pang et al. (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,OECD90,Switzerland,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
"Pang et al (2014): Environmental life cycle assessment of a small hydropower plant in China, pg 802",https://link.springer.com/article/10.1007/s11367-015-0878-7,World,,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
"Pang (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,Asia (Sans Japan),Thailand,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,1.0
"Pang (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,Asia (Sans Japan),Thailand,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
"Pang (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,Asia (Sans Japan),Thailand,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
"Pang (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,Asia (Sans Japan),Thailand,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
"Pang (2014): Environmental life cycle assessment of a small hydropower plant in China Table 4, pg 803",https://link.springer.com/article/10.1007/s11367-015-0878-7,OECD90,Japan,,1  - Peer Reviewed,2014,,,kg CO2-eq/MWh,0.0,t CO2-eq/ TWh,,,
