"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IPCC Renewable Energy Sources and Climate Change Mitigation Summary for Policymakers and Technical Summary pg 82,https://www.ipcc.ch/pdf/special-reports/srren/SRREN_FD_SPM_final.pdf,World,,1  - Peer Reviewed,2011,,40.0,years,168412.58536982047,TWh/TW,,,
IPCC Renewable Energy Sources and Climate Change Mitigation Summary for Policymakers and Technical Summary pg 82,https://www.ipcc.ch/pdf/special-reports/srren/SRREN_FD_SPM_final.pdf,World,,1  - Peer Reviewed,2011,,80.0,years,336825.17073964095,TWh/TW,,,
Instream Energy Systems System Specification Sheet pg 2,http://instreamenergy.com/wp-content/uploads/25kW-Instream-Turbine-Technical-Specifications.pdf,USA,,3 - For Profit,2015,,20.0,years,84206.29268491024,TWh/TW,,,
"Kusakana 2008: Economic and Environmental Analysis of Micro Hydropower System for Rural Power Supply, pg 443",https://www.researchgate.net/profile/Kanzumba_Kusakana/publication/224375923_Economic_and_Environmental_Analysis_of_Micro_Hydropower_System_for_Rural_Power_Supply/links/55dc4fb308aec156b9b07e1b.pdf,Middle East and Africa,South Africa,1  - Peer Reviewed,2008,,25.0,years,105257.8658561378,TWh/TW,,,
"Paish 2002: Small hydro power: technology and current status, pg 538",http://www.sciencedirect.com/science/article/pii/S1364032102000060,OECD90,UK,1  - Peer Reviewed,2002,,50.0,years,210515.7317122756,TWh/TW,,,
IRENA Renewable Energy Technologies Cost Analysis Series pg 7,http://www.irena.org/documentdownloads/publications/re_technologies_cost_analysis-hydropower.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,30.0,years,126309.43902736536,TWh/TW,,,
IRENA Renewable Energy Technologies Cost Analysis Series pg 24,http://www.irena.org/documentdownloads/publications/re_technologies_cost_analysis-hydropower.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,50.0,years,210515.7317122756,TWh/TW,,,
JRC ETRI (2014) HydroPower less than 10 MW (Table 13) reference,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,60.0,years,252618.8780547307,TWh/TW,,,
JRC ETRI (2014) HydroPower Run of River (Table 14) Reference,http://publications.jrc.ec.europa.eu/repository/handle/JRC92496,EU,,2 - Public Sector/ Multilateral Agency,2014,,60.0,years,252618.8780547307,TWh/TW,,,
"IRENA (2015).Low range for small hydro projects.IRENA. (2015a). Hydropower : Technology Brief. Abu Dhabi: IRENA. p.1.Retrieved from https://www.irena.org/publications/2015/Feb/Hydropower

",https://www.irena.org/publications/2015/Feb/Hydropower,World,,2 - Public Sector/ Multilateral Agency,2015,,30.0,years,126309.43902736536,TWh/TW,,Low range of Economic life as opposed to technical life (100yrs),
"IRENA (2015).Upper range for small hydro projects.IRENA. (2015a). Hydropower : Technology Brief. Abu Dhabi: IRENA. p.10.Retrieved from https://www.irena.org/publications/2015/Feb/Hydropower

",https://www.irena.org/publications/2015/Feb/Hydropower,World,,2 - Public Sector/ Multilateral Agency,2015,,50.0,years,210515.7317122756,TWh/TW,,Upper range for small hydro plants,
IFC (2015). Lower range of economic lifespan for typical projects.IFC. (2015). Hydroelectric Power : A Guide for Developers and Investors. Stuttgart: World Bank.p.95.,https://www.ifc.org/wps/wcm/connect/06b2df8047420bb4a4f7ec57143498e5/Hydropower_Report.pdf?MOD=AJPERES,World,,2 - Public Sector/ Multilateral Agency,2015,,30.0,years,126309.43902736536,TWh/TW,,,
IFC (2015). Upper range of economic lifespan for typical projects.IFC. (2015). Hydroelectric Power : A Guide for Developers and Investors. Stuttgart: World Bank.p.95.,https://www.ifc.org/wps/wcm/connect/06b2df8047420bb4a4f7ec57143498e5/Hydropower_Report.pdf?MOD=AJPERES,World,,2 - Public Sector/ Multilateral Agency,2015,,40.0,years,168412.58536982047,TWh/TW,,,
"Hanafi (2015). Lifetime of an SHP plant of Indonesia. Hanafi, J. & Riman, A. (2015). Life Cycle Assessment of a Mini Hydro Power Plant in Indonesia: A Case Study in Karai River. The 22nd CIRP conference on Life Cycle Engineering, 29, pp. 444-449. Section 2.1. doi:10.1016/j.procir.2015.02.160",https://www.sciencedirect.com/science/article/pii/S2212827115004734,Asia (Sans Japan),Indonesia,1  - Peer Reviewed,2015,,50.0,years,210515.7317122756,TWh/TW,,,
"NREL (2018). Representative capital recovery period for small hydro projects. NREL. (2018, August). NREL 2018 : Annual Technology Baseline. Retrieved from NREL: https://atb.nrel.gov/electricity/2017/index.html?t=hp",https://atb.nrel.gov/electricity/2017/index.html?t=hp,USA,,2 - Public Sector/ Multilateral Agency,2016,,30.0,years,126309.43902736536,TWh/TW,,Financial recovery period as opposed to technology life of 100 years,
Ram et al. (2019). EWG/LUT - 100RE all sectors global report,http://energywatchgroup.org/wp-content/uploads/EWG_LUT_100RE_All_Sectors_Global_Report_2019.pdf,World,,2 - Public Sector/ Multilateral Agency,2019,,50.0,years,210515.7317122756,TWh/TW,,Run of River.,
