Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,35739.10972659552,,,,,,,,,
2015,35739.10972659552,,,,,,,,,
2016,36597.98593436644,,,,,,,,,
2017,37501.59465865347,,,,,,,,,
2018,38450.76827685104,,,,,,,,,
2019,39446.35531093573,,,,,,,,,
2020,40489.22058831637,,,,,,,,,
2021,41591.19128987236,,,,,,,,,
2022,42746.00061929743,,,,,,,,,
2023,43954.62480466649,,,,,,,,,
2024,45218.05932729022,,,,,,,,,
2025,46537.319091223195,,,,,,,,,
2026,47913.43861202034,,,,,,,,,
2027,49347.47222292337,,,,,,,,,
2028,50840.494296958495,,,,,,,,,
2029,52349.84946935131,,,,,,,,,
2030,53913.46963766403,,,,,,,,,
2031,55536.47307110051,,,,,,,,,
2032,57216.315635933875,,,,,,,,,
2033,58954.03484030211,,,,,,,,,
2034,60750.687207582334,,,,,,,,,
2035,62607.34854081816,,,,,,,,,
2036,64525.11419578451,,,,,,,,,
2037,66505.09936240478,,,,,,,,,
2038,68548.43935428372,,,,,,,,,
2039,70656.28990615316,,,,,,,,,
2040,72829.82747906534,,,,,,,,,
2041,75073.75567130846,,,,,,,,,
2042,77385.99776645843,,,,,,,,,
2043,79767.78952550737,,,,,,,,,
2044,82220.38888059964,,,,,,,,,
2045,84745.07626631446,,,,,,,,,
2046,87343.15495899852,,,,,,,,,
2047,90015.95142405205,,,,,,,,,
2048,92764.81567108766,,,,,,,,,
2049,95591.12161690512,,,,,,,,,
2050,98496.2674562392,,,,,,,,,
2051,101477.50498629716,,,,,,,,,
2052,104535.3742838299,,,,,,,,,
2053,107670.25814785848,,,,,,,,,
2054,110882.34593528564,,,,,,,,,
2055,114171.59009103476,,,,,,,,,
2056,117537.65391006687,,,,,,,,,
2057,120980.68298689382,,,,,,,,,
2058,124500.74401957961,,,,,,,,,
2059,128097.84048599684,,,,,,,,,
2060,131771.93868821207,,,,,,,,,
