"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
CICR 2011,http://edis.ifas.ufl.edu/pdffiles/HS/HS38800.pdf,USA,Florida,1  - Peer Reviewed,,yes,,US$2008,0.0,US$2014/ ha,,,
Dumler et al 2011,http://www.bookstore.ksre.ksu.edu/pubs/mf836.pdf,USA,"Kansas, USA",1  - Peer Reviewed,,yes,,US$2011,0.0,US$2014/ ha,,,
Dumler et al 2011,http://www.bookstore.ksre.ksu.edu/pubs/mf836.pdf,USA,"Kansas, USA",1  - Peer Reviewed,,yes,,US$2011,0.0,US$2014/ ha,,,
Scherer 2010,https://www.ag.ndsu.edu/waterquality/documents/ae91_Selecting_a_Sprinkler_Irrigation_System.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2010,0.0,US$2014/ ha,,,
Scherer 2011,https://www.ag.ndsu.edu/waterquality/documents/ae91_Selecting_a_Sprinkler_Irrigation_System.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2011,0.0,US$2014/ ha,,,
Scherer 2012,https://www.ag.ndsu.edu/waterquality/documents/ae91_Selecting_a_Sprinkler_Irrigation_System.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2012,0.0,US$2014/ ha,,,
Scherer 2013,https://www.ag.ndsu.edu/waterquality/documents/ae91_Selecting_a_Sprinkler_Irrigation_System.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2013,0.0,US$2014/ ha,,,
Scherer 2014,https://www.ag.ndsu.edu/waterquality/documents/ae91_Selecting_a_Sprinkler_Irrigation_System.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2014,0.0,US$2014/ ha,,,
Oosthuizen 2005,http://www.ajol.info/index.php/wsa/article/viewFile/5214/60539,Middle East and Africa,South Africa,2 - Public Sector/ Multilateral Agency,,yes,,US$2005,0.0,US$2014/ ha,,,
Oosthuizen 2006,http://www.ajol.info/index.php/wsa/article/viewFile/5214/60539,Middle East and Africa,South Africa,2 - Public Sector/ Multilateral Agency,,yes,,US$2006,0.0,US$2014/ ha,,,
Musthaq 2011,http://www.nwc.gov.au/__data/assets/pdf_file/0013/10921/Waterlines_53_PDF_Fellowship-_Technological_change_in_the_irrigation_industry.pdf,OECD90,Australia,1  - Peer Reviewed,,yes,,US$2011,0.0,US$2014/ ha,,,
Musthaq 2011,http://www.nwc.gov.au/__data/assets/pdf_file/0013/10921/Waterlines_53_PDF_Fellowship-_Technological_change_in_the_irrigation_industry.pdf,OECD90,Australia,1  - Peer Reviewed,,yes,,US$2011,0.0,US$2014/ ha,,,
Fraiture 2002,http://www.iwmi.cgiar.org/assessment/files_new/research_projects/Project_Workshops/Why_is_ag_waterdemend_inelastic_Charlotte.pdf,Asia (Sans Japan),China,1  - Peer Reviewed,,yes,,US$2002,0.0,US$2014/ ha,,,
Fraiture 2002,http://www.iwmi.cgiar.org/assessment/files_new/research_projects/Project_Workshops/Why_is_ag_waterdemend_inelastic_Charlotte.pdf,Asia (Sans Japan),China,1  - Peer Reviewed,,yes,,US$2002,0.0,US$2014/ ha,,,
Kheria 2009,http://www.cigrjournal.org/index.php/Ejounral/article/viewFile/1076/1158,Middle East and Africa,Egypt,1  - Peer Reviewed,,yes,,US$2009,0.0,US$2014/ ha,,,
Kheria 2010,http://www.cigrjournal.org/index.php/Ejounral/article/viewFile/1076/1159,Middle East and Africa,Egypt,1  - Peer Reviewed,,yes,,US$2010,0.0,US$2014/ ha,,,
FAO,ftp://ftp.fao.org/agl/aglw/docs/pressirrig.pdf,Middle East and Africa,Europe,1  - Peer Reviewed,,yes,,US$2014,0.0,US$2014/ ha,,,
FAO,ftp://ftp.fao.org/agl/aglw/docs/pressirrig.pdf,Middle East and Africa,Europe,1  - Peer Reviewed,,yes,,US$2014,0.0,US$2014/ ha,,,
Brown 2008,http://alfalfa.ucdavis.edu/+symposium/proceedings/2008/08-141.pdf,USA,North Dakota,2 - Public Sector/ Multilateral Agency,,yes,,US$2008,0.0,US$2014/ ha,,,
Pauberg 2010,http://www.safir4eu.org/Lib/SAFIR/Deliverable/D6_4.pdf,Asia (Sans Japan),china,1  - Peer Reviewed,,yes,,US$2010,0.0,US$2014/ ha,,,
Pauberg 2012,http://www.safir4eu.org/Lib/SAFIR/Deliverable/D6_4.pdf,Asia (Sans Japan),China,1  - Peer Reviewed,,yes,,US$2012,0.0,US$2014/ ha,,,
"EPA, US 2008",http://www.epa.gov/osw/conserve/tools/greenscapes/tools/drip.pdf,USA,US,1  - Peer Reviewed,,yes,,US$2008,0.0,US$2014/ ha,,,
"EPA, US 2008",http://www.epa.gov/osw/conserve/tools/greenscapes/tools/drip.pdf,USA,US,1  - Peer Reviewed,,yes,,US$2008,0.0,US$2014/ ha,,,
ICID 2008,http://www.icid.org/ws2_2008.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,,yes,,US$2008,0.0,US$2014/ ha,,,
IED,http://www.saiplatform.org/uploads/Library/Technical%20Brief%201%20%20Irrigation%20Systems.pdf,World,Global,2 - Public Sector/ Multilateral Agency,,yes,,US$2014,0.0,US$2014/ ha,,,
CICR 2011,http://www.cicr.org.in/pdf/low_cost_drip.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,,yes,,US$2011,0.0,US$2014/ ha,,,
GoI 2010,http://www.nccd.gov.in/PDF/Guidelines-NMMI.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,,yes,,US$2010,0.0,US$2014/ ha,,,
Smith nd,http://web.mit.edu/D-Lab/resources/nciia_files/tb-di.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,,yes,,US$2014,0.0,US$2014/ ha,,,
Shock 2013,http://extension.oregonstate.edu/sorec/sites/default/files/drip_irrigation_em8782.pdf,USA,USA,1  - Peer Reviewed,,yes,,US$2013,0.0,US$2014/ ha,,,
Simonne et al 2008,http://edis.ifas.ufl.edu/pdffiles/HS/HS38800.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,,yes,,US$2008,0.0,US$2014/ ha,,,
Amosson et al 2011,http://amarillo.tamu.edu/files/2011/10/Irrigation-Bulletin-FINAL-B6113.pdf,USA,Texas USA,2 - Public Sector/ Multilateral Agency,,yes,,US$2011,0.0,US$2014/ ha,,,
Amosson et al 2011,http://amarillo.tamu.edu/files/2011/10/Irrigation-Bulletin-FINAL-B6113.pdf,USA,Texas USA,2 - Public Sector/ Multilateral Agency,,yes,,US$2011,0.0,US$2014/ ha,,,
IIM 2014,http://www.iimahd.ernet.in/users/webrequest/files/cmareports/15Analysis_Resource_Final.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,,yes,,US$2014,0.0,US$2014/ ha,,,
Narayanmurthy 2002,http://www.iwmi.cgiar.org/Publications/Other/PDF/Paper%2015%20of%20NRLP%20series%201.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,,yes,,US$2002,0.0,US$2014/ ha,,,
Narayanmurthy 2003,http://www.iwmi.cgiar.org/Publications/Other/PDF/Paper%2015%20of%20NRLP%20series%201.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,,yes,,US$2003,0.0,US$2014/ ha,,,
Narayanmurthy 2004,http://www.iwmi.cgiar.org/Publications/Other/PDF/Paper%2015%20of%20NRLP%20series%201.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,,yes,,US$2004,0.0,US$2014/ ha,,,
IIT 2007,http://www.iitk.ac.in/3inetwork/html/reports/IIR2007/07-Irrigation.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,,yes,,US$2007,0.0,US$2014/ ha,,,
