Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,4.077
2015,,,,,,,,,,4.02359782384516
2016,,,,,,,,,,4.090478369046784
2017,,,,,,,,,,4.170111277301407
2018,,,,,,,,,,4.261824003104105
2019,,,,,,,,,,4.3649321991729195
2020,,,,,,,,,,4.492541592120131
2021,,,,,,,,,,4.602630032839049
2022,,,,,,,,,,4.735900018649302
2023,,,,,,,,,,4.877833406676328
2024,,,,,,,,,,5.027674765521604
2025,,,,,,,,,,5.243613662629057
2026,,,,,,,,,,5.348177960548784
2027,,,,,,,,,,5.517491002151497
2028,,,,,,,,,,5.691995073234655
2029,,,,,,,,,,5.871085483204855
2030,,,,,,,,,,6.052535408766731
2031,,,,,,,,,,6.2405389068128985
2032,,,,,,,,,,6.429586965747525
2033,,,,,,,,,,6.620685563952086
2034,,,,,,,,,,6.813238863130969
2035,,,,,,,,,,7.004649369436956
2036,,,,,,,,,,7.200263062284293
2037,,,,,,,,,,7.393456127012052
2038,,,,,,,,,,7.585519299684556
2039,,,,,,,,,,7.77572426835098
2040,,,,,,,,,,7.96162322207519
2041,,,,,,,,,,8.147761332973811
2042,,,,,,,,,,8.328297993774104
2043,,,,,,,,,,8.504291458046728
2044,,,,,,,,,,8.67506409439969
2045,,,,,,,,,,8.839954216650968
2046,,,,,,,,,,8.998308181164125
2047,,,,,,,,,,9.149507722263836
2048,,,,,,,,,,9.292976460105098
2049,,,,,,,,,,9.428166142929898
2050,,,,,,,,,,9.578275564948047
2051,,,,,,,,,,9.671428898188884
2052,,,,,,,,,,9.778283974960438
2053,,,,,,,,,,9.874496877975
2054,,,,,,,,,,9.959483914047917
2055,,,,,,,,,,10.032653000941652
2056,,,,,,,,,,10.093406414583116
2057,,,,,,,,,,10.14112807584508
2058,,,,,,,,,,10.175182549346879
2059,,,,,,,,,,10.194921043112933
2060,,,,,,,,,,10.199699887460081
