Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,19.4991,,,,,,,,,
2013,22.023,,,,,,,,,
2014,23.994,,,,,,,,,
2015,28.309510525493785,,,,,,,,,
2016,30.94853509101087,,,,,,,,,
2017,33.22508712136571,,,,,,,,,
2018,35.18188595709521,,,,,,,,,
2019,36.86142524998672,,,,,,,,,
2020,34.78215600272303,,,,,,,,,
2021,39.55961232838666,,,,,,,,,
2022,40.664565132232774,,,,,,,,,
2023,41.664589404492006,,,,,,,,,
2024,42.603252770405604,,,,,,,,,
2025,43.52415528122443,,,,,,,,,
2026,44.47082374331628,,,,,,,,,
2027,45.48679934042521,,,,,,,,,
2028,46.61578445028412,,,,,,,,,
2029,47.90155949261637,,,,,,,,,
2030,54.6434877712696,,,,,,,,,
2031,51.118897128177856,,,,,,,,,
2032,53.13830933158805,,,,,,,,,
2033,55.49029715193686,,,,,,,,,
2034,58.2190591197984,,,,,,,,,
2035,61.36887393166765,,,,,,,,,
2036,64.9840544186966,,,,,,,,,
2037,69.10901010935811,,,,,,,,,
2038,73.7883264064933,,,,,,,,,
2039,79.06672799213095,,,,,,,,,
2040,81.51796858250394,,,,,,,,,
2041,91.60013793281652,,,,,,,,,
2042,98.94498218630306,,,,,,,,,
2043,107.06849681161972,,,,,,,,,
2044,116.01560643471122,,,,,,,,,
2045,125.83130288213586,,,,,,,,,
2046,136.56072442913384,,,,,,,,,
2047,148.24910622675247,,,,,,,,,
2048,160.94163952229746,,,,,,,,,
2049,174.6835133742646,,,,,,,,,
2050,190.3853155381287,,,,,,,,,
2051,205.49612176917842,,,,,,,,,
2052,222.65735289394357,,,,,,,,,
2053,241.04812596651345,,,,,,,,,
2054,260.7125166778603,,,,,,,,,
2055,281.69461291633576,,,,,,,,,
2056,304.03887170986917,,,,,,,,,
2057,327.79019701041136,,,,,,,,,
2058,352.99358448972436,,,,,,,,,
2059,379.6943830633406,,,,,,,,,
2060,407.93807487154817,,,,,,,,,
