Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,19.4991,,,,,,,,,
2013,22.023,,,,,,,,,
2014,23.994,,,,,,,,,
2015,30.678408874024225,,,,,,,,,
2016,33.510661009019344,,,,,,,,,
2017,36.34604089373018,,,,,,,,,
2018,39.184298085147276,,,,,,,,,
2019,42.02486142850554,,,,,,,,,
2020,52.68755770350962,,,,,,,,,
2021,47.711030604070885,,,,,,,,,
2022,50.556402980703986,,,,,,,,,
2023,53.40335240881385,,,,,,,,,
2024,56.25207641775285,,,,,,,,,
2025,59.10275960870606,,,,,,,,,
2026,61.95542156125777,,,,,,,,,
2027,64.81001724006441,,,,,,,,,
2028,67.66664341529815,,,,,,,,,
2029,70.52542861273675,,,,,,,,,
2030,78.95595863242367,,,,,,,,,
2031,76.24998551242196,,,,,,,,,
2032,79.11597691681466,,,,,,,,,
2033,81.98468004322255,,,,,,,,,
2034,84.85632843230484,,,,,,,,,
2035,87.7311381877648,,,,,,,,,
2036,90.60923130093987,,,,,,,,,
2037,93.49072075671296,,,,,,,,,
2038,96.37580759672358,,,,,,,,,
2039,99.26471076353722,,,,,,,,,
2040,102.2535989964066,,,,,,,,,
2041,105.05456127967803,,,,,,,,,
2042,107.95560047564223,,,,,,,,,
2043,110.86057640383768,,,,,,,,,
2044,113.76925484839099,,,,,,,,,
2045,116.68140526467303,,,,,,,,,
2046,119.59687861408017,,,,,,,,,
2047,122.51555233967062,,,,,,,,,
2048,125.43721857509314,,,,,,,,,
2049,128.36164346678777,,,,,,,,,
2050,127.1684722136194,,,,,,,,,
2051,134.21784770165826,,,,,,,,,
2052,137.14921386914807,,,,,,,,,
2053,140.08205458218345,,,,,,,,,
2054,143.0156060566818,,,,,,,,,
2055,145.94925602276905,,,,,,,,,
2056,148.8826954669479,,,,,,,,,
2057,151.8158866169499,,,,,,,,,
2058,154.74884154648092,,,,,,,,,
2059,157.68171853597744,,,,,,,,,
2060,160.61469734731926,,,,,,,,,
