Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,19.4991,,,,,,,,,
2013,22.023,,,,,,,,,
2014,23.994,,,,,,,,,
2015,24.51722487283997,,,,,,,,,
2016,24.93851374946415,,,,,,,,,
2017,25.35980262608833,,,,,,,,,
2018,25.781091502712513,,,,,,,,,
2019,26.20238037933669,,,,,,,,,
2020,26.623669255960873,,,,,,,,,
2021,27.044958132585055,,,,,,,,,
2022,27.466247009209233,,,,,,,,,
2023,27.887535885833415,,,,,,,,,
2024,28.308824762457597,,,,,,,,,
2025,28.73011363908178,,,,,,,,,
2026,29.151402515705957,,,,,,,,,
2027,29.57269139233014,,,,,,,,,
2028,29.993980268954317,,,,,,,,,
2029,30.4152691455785,,,,,,,,,
2030,30.83655802220268,,,,,,,,,
2031,31.257846898826863,,,,,,,,,
2032,31.67913577545104,,,,,,,,,
2033,32.10042465207522,,,,,,,,,
2034,32.5217135286994,,,,,,,,,
2035,32.94300240532358,,,,,,,,,
2036,33.364291281947764,,,,,,,,,
2037,33.785580158571946,,,,,,,,,
2038,34.20686903519612,,,,,,,,,
2039,34.62815791182031,,,,,,,,,
2040,35.049446788444484,,,,,,,,,
2041,35.470735665068666,,,,,,,,,
2042,35.89202454169285,,,,,,,,,
2043,36.31331341831703,,,,,,,,,
2044,36.73460229494121,,,,,,,,,
2045,37.155891171565386,,,,,,,,,
2046,37.57718004818957,,,,,,,,,
2047,37.99846892481375,,,,,,,,,
2048,38.41975780143793,,,,,,,,,
2049,38.84104667806211,,,,,,,,,
2050,39.30912203920221,,,,,,,,,
2051,39.7771974003423,,,,,,,,,
2052,40.10491330793465,,,,,,,,,
2053,40.526202184558834,,,,,,,,,
2054,40.947491061183015,,,,,,,,,
2055,41.3687799378072,,,,,,,,,
2056,41.79006881443138,,,,,,,,,
2057,42.211357691055554,,,,,,,,,
2058,42.63264656767974,,,,,,,,,
2059,43.05393544430392,,,,,,,,,
2060,43.4752243209281,,,,,,,,,
