Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,19.4991,,,,,,,,,
2013,22.023,,,,,,,,,
2014,23.994,,,,,,,0.11699999999999999,17.634,4.077
2015,29.40084451576596,,,,,,,0.1414014999780201,18.411037266514562,4.229255713875467
2016,32.74438063434237,,,,,,,0.15380657301081024,19.186726903419093,4.402011272460698
2017,35.94644071291726,,,,,,,0.1677089625957056,19.8800107245395,4.571451148905794
2018,39.01651592060927,,,,,,,0.1831177008367975,20.496412918967568,4.737721429844071
2019,41.96376388814888,,,,,,,0.20003332022977377,21.040666688399263,4.900952248021697
2020,44.75019153345251,,,,,,,0.21615634377484372,21.649423401435552,5.108508426373167
2021,47.52685483040452,,,,,,,0.23801278527859623,21.93333427134055,5.218836678618042
2022,50.16199464796718,,,,,,,0.25986922678234875,22.293895935841505,5.373791188092542
2023,52.71263869311578,,,,,,,0.2828907959951167,22.605327605010444,5.526203016071509
2024,55.18879598484396,,,,,,,0.3074818965769189,22.87364790313619,5.676108530910441
2025,57.99086509362654,,,,,,,0.3344661202743578,23.15611232538945,5.798788710305163
2026,59.95753067052745,,,,,,,0.3614503439717967,23.304727886242706,5.9686799329670865
2027,62.2697747195815,,,,,,,0.3908565944777142,23.479117948994606,6.111601255696235
2028,64.54716586367088,,,,,,,0.42189490511988575,23.63399834172308,6.252502706107606
2029,66.79970512030539,,,,,,,0.4545765934260467,23.775400702297848,6.3915839940285855
2030,68.55517836413611,,,,,,,0.48974720599029664,23.916756133949512,6.502892404552793
2031,71.27028183416317,,,,,,,0.5249178185545466,24.041604922429286,6.664990653708018
2032,73.50834264009313,,,,,,,0.562605679478077,24.17810717287632,6.7995827755256615
2033,75.76170528429209,,,,,,,0.6019862478318228,24.32452164957092,6.932989935794064
2034,78.04052757605959,,,,,,,0.6430672527432717,24.48649884611599,7.065402541026162
2035,80.34259714361269,,,,,,,0.686716122816563,24.671690239790895,7.210598483629838
2036,82.71510269879637,,,,,,,0.7303649928898543,24.880016903348555,7.327920316041304
2037,85.13103648538748,,,,,,,0.7766040118618474,25.123215737248444,7.458300638743913
2038,87.61296199080732,,,,,,,0.8245934927277622,25.40518184116366,7.588210406214717
2039,90.17111213348316,,,,,,,0.874357852789031,25.731791352063762,7.717695953252803
2040,92.81998725507464,,,,,,,0.9256075620140664,26.10673925690007,7.852185203359381
2041,95.55688008054612,,,,,,,0.9793010157138066,26.542357797433446,7.9756973803820985
2042,98.40477122801848,,,,,,,1.034513040827266,27.037957127446727,8.104465140893065
2043,101.36937679266863,,,,,,,1.0915692327688313,27.601436028072207,8.23321855579327
2044,104.46064105772746,,,,,,,1.1504787891085984,28.238490494873947,8.36205090306508
2045,107.698656447417,,,,,,,1.2121895775037153,28.950688893011005,8.497484390367122
2046,111.0631181172587,,,,,,,1.2739003658988322,29.756233396492256,8.620387077097552
2047,114.59450447640576,,,,,,,1.338441015759619,30.648482090236225,8.750148767967161
2048,118.29273996922166,,,,,,,1.4048936515478834,31.63760443756086,8.880536930594642
2049,122.16786233850357,,,,,,,1.4732816101399089,32.72973348739935,9.011758743921119
2050,126.23539569674543,,,,,,,1.5361664033800777,33.932324855857686,9.137987224722592
2051,130.488988764561,,,,,,,1.6159456988315204,35.24716703950949,9.277442511852282
2052,134.95517163900558,,,,,,,1.6902513317513874,36.68417687495285,9.412197322001566
2053,139.63814031945256,,,,,,,1.766548144921137,38.24780912270053,9.548441970995704
2054,144.54741726119687,,,,,,,1.8448349665688804,39.94385107650686,9.686347250069323
2055,149.69264589676692,,,,,,,1.92511153639377,41.778095620925754,9.826076890691803
2056,155.0837526058659,,,,,,,2.0073853286078776,43.756433781811005,9.967790618390158
2057,160.73093203395263,,,,,,,2.091666889528327,45.884747306502426,10.111631847730099
2058,166.6444298268045,,,,,,,2.1779607952013658,48.16878475313403,10.257726297380175
2059,172.8346524953543,,,,,,,2.2662708126690663,50.61422383925441,10.406187326520014
2060,179.31204302462967,,,,,,,2.3566017211280768,53.22677326387182,10.557134274965225
