Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,23.99,,,,,,,,,
2015,28.78,,,,,,,,,
2016,32.71,,,,,,,,,
2017,36.67,,,,,,,,,
2018,40.68,,,,,,,,,
2019,44.72,,,,,,,,,
2020,49.02,,,,,,,,,
2021,52.99,,,,,,,,,
2022,57.23,,,,,,,,,
2023,61.56,,,,,,,,,
2024,65.97,,,,,,,,,
2025,70.53,,,,,,,,,
2026,75.1,,,,,,,,,
2027,79.84,,,,,,,,,
2028,84.7,,,,,,,,,
2029,89.7,,,,,,,,,
2030,94.93,,,,,,,,,
2031,96.78,,,,,,,,,
2032,84.76,,,,,,,,,
2033,72.43,,,,,,,,,
2034,59.78,,,,,,,,,
2035,46.84,,,,,,,,,
2036,33.59,,,,,,,,,
2037,20.05,,,,,,,,,
2038,6.34,,,,,,,,,
2039,0.0,,,,,,,,,
2040,0.0,,,,,,,,,
2041,0.0,,,,,,,,,
2042,0.0,,,,,,,,,
2043,0.0,,,,,,,,,
2044,0.0,,,,,,,,,
2045,0.0,,,,,,,,,
2046,0.0,,,,,,,,,
2047,0.0,,,,,,,,,
2048,0.0,,,,,,,,,
2049,0.0,,,,,,,,,
2050,0.0,,,,,,,,,
2051,0.0,,,,,,,,,
2052,0.0,,,,,,,,,
2053,0.0,,,,,,,,,
2054,0.0,,,,,,,,,
2055,0.0,,,,,,,,,
2056,0.0,,,,,,,,,
2057,0.0,,,,,,,,,
2058,0.0,,,,,,,,,
2059,0.0,,,,,,,,,
2060,0.0,,,,,,,,,
