"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,World,,2 - Public Sector/ Multilateral Agency,2014,,23.99,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,22.97,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2014,,0.07,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2014,,0.71,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2014,,0.05,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,Latin America,,2 - Public Sector/ Multilateral Agency,2014,,0.0,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,India,,2 - Public Sector/ Multilateral Agency,2014,,0.12,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,EU,,2 - Public Sector/ Multilateral Agency,2014,,17.63,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
IRENA Renewable Energy Statistics (2016),http://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Statistics_2016.pdf,USA,,2 - Public Sector/ Multilateral Agency,2014,,4.07,TWh,,TWh,,"6% Share in total Biogas from IRENA of biogas produced from Landfills (WBA, 2013).",
Project Drawdown Estimations (2016 adoption),,World,,2 - Public Sector/ Multilateral Agency,2016,,28.58105,TWh,,TWh,,"linear extrapolation for 2016 adoption based on 2012-most recent adoption (2016, 2017) ",
Project Drawdown Estimations (2017 adoption),,World,,2 - Public Sector/ Multilateral Agency,2017,,30.828500000000002,TWh,,TWh,,"linear extrapolation for 2017 adoption based on 2012-most recent adoption (2016, 2017) ",
Project Drawdown Estimations (2018 adoption),,World,,2 - Public Sector/ Multilateral Agency,2018,,33.075950000000006,TWh,,TWh,,"linear extrapolation for 2018 adoption based on 2012-most recent adoption (2016, 2017) ",
