"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"USAID, undated, LFG plant cost",http://www.energytoolbox.org/gcre/mod_2/gcre_biomass.pdf,World,,2 - Public Sector/ Multilateral Agency,2004,,1200.0,US$2004/KW,166.85756202886455,US$2014/kW,,"All of these values are for electricity. However, they are likely extremely high, since not all solutions modeled here are for electricity. ",
"USAID, undated, LFG plant cost",http://www.energytoolbox.org/gcre/mod_2/gcre_biomass.pdf,World,,2 - Public Sector/ Multilateral Agency,2004,,1500.0,US$2004/KW,208.57195253608066,US$2014/kW,,,
"EPA, 2016, LFG economics, microturbine (1 MW or less)",https://www.epa.gov/sites/production/files/2016-09/documents/pdh_chapter3.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,2800.0,US$2013/KW,317.6967981029581,US$2014/kW,,,
"EPA, 2016, LFG economics, large internal combustion engine (800 kW or greater)",https://www.epa.gov/sites/production/files/2016-09/documents/pdh_chapter3.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,1800.0,US$2013/KW,204.2336559233302,US$2014/kW,,Cost for 225 KW system used to calculate cost per KW then conversion to cost per TW,
"EPA, 2016, LFG economics, small internal combution engine (799 kW or less)",https://www.epa.gov/sites/production/files/2016-09/documents/pdh_chapter3.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,2400.0,US$2013/KW,272.3115412311069,US$2014/kW,,,
"EPA, 2016, LFG economics, gas turbine (3 MW or greater)",https://www.epa.gov/sites/production/files/2016-09/documents/pdh_chapter3.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,1400.0,US$2013/KW,158.84839905147905,US$2014/kW,,,
EESI fact Sheet landfill Methane (May 2013),http://www.eesi.org/files/FactSheet_Landfill-Methane_042613.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,2300.0,US$2013/KW,260.96522701314416,US$2014/kW,,Internal Combustion engine 1MW,
EESI fact Sheet landfill Methane (May 2013),http://www.eesi.org/files/FactSheet_Landfill-Methane_042613.pdf,USA,,2 - Public Sector/ Multilateral Agency,2013,,1700.0,US$2013/KW,192.8873417053674,US$2014/kW,,Internal Combustion engine 800kW,
IRENA (2012) - Biomass technology cost analysis,https://www.irena.org/DocumentDownloads/Publications/RE_Technologies_Cost_Analysis-BIOMASS.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,1917.0,US$2012/KW,219.64128320107554,US$2014/kW,,,
IRENA (2012) - Biomass technology cost analysis,https://www.irena.org/DocumentDownloads/Publications/RE_Technologies_Cost_Analysis-BIOMASS.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,2436.0,US$2012/KW,279.10598115692227,US$2014/kW,,,
