Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,60.9121895328264
2013,,,,,,,,,,64.48117319053328
2014,,,,,,,,,,65.67060663497999
2015,,,,,,,,,,67.25117258886598
2016,,,,,,,,,,67.97413794787518
2017,,,,,,,,,,69.3213707105965
2018,,,,,,,,,,70.79891487750028
2019,,,,,,,,,,72.40677044858654
2020,,,,,,,,,,73.61425979389949
2021,,,,,,,,,,76.0134158033065
2022,,,,,,,,,,78.01220558694018
2023,,,,,,,,,,80.14130677475636
2024,,,,,,,,,,82.400719366755
2025,,,,,,,,,,85.1625892647864
2026,,,,,,,,,,87.31047876329973
2027,,,,,,,,,,89.9608255678458
2028,,,,,,,,,,92.74148377657434
2029,,,,,,,,,,95.65245338948537
2030,,,,,,,,,,98.59144502942759
2031,,,,,,,,,,98.1188814925426
2032,,,,,,,,,,100.177684296776
2033,,,,,,,,,,102.23648710101
2034,,,,,,,,,,104.295289905243
2035,,,,,,,,,,106.354092709477
2036,,,,,,,,,,108.412895513711
2037,,,,,,,,,,110.471698317944
2038,,,,,,,,,,112.530501122178
2039,,,,,,,,,,114.589303926412
2040,,,,,,,,,,116.648106730645
2041,,,,,,,,,,
2042,,,,,,,,,,
2043,,,,,,,,,,
2044,,,,,,,,,,
2045,,,,,,,,,,
2046,,,,,,,,,,
2047,,,,,,,,,,
2048,,,,,,,,,,
2049,,,,,,,,,,
2050,,,,,,,,,,
2051,,,,,,,,,,
2052,,,,,,,,,,
2053,,,,,,,,,,
2054,,,,,,,,,,
2055,,,,,,,,,,
2056,,,,,,,,,,
2057,,,,,,,,,,
2058,,,,,,,,,,
2059,,,,,,,,,,
2060,,,,,,,,,,
