"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
US DOE 2014; Data for Halogen Lamp (A19 43W; 750 lumens),http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,2.5,USD/klm,2.5,US2014$/kilo-lumen,0.1593065693430657,Halogen,
US DOE 2014; Data for CFL (13W; 800 lumens),http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,2.0,USD/klm,2.0,US2014$/kilo-lumen,0.02655109489051095,CFL,
"US DOE 2014; Data for CFL (13W; 800 lumens, dimmable)",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,10.0,USD/klm,10.0,US2014$/kilo-lumen,0.02655109489051095,CFL,
US DOE 2014; Data for Fluorescent Lamp and Ballast System (F32T8),http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,4.0,USD/klm,4.0,US2014$/kilo-lumen,0.035401459854014605,LFL,
US DOE 2014; Data for CFL 6” Downlight (13W; T4; ~500 lumens),http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,10.0,USD/klm,10.0,US2014$/kilo-lumen,0.02655109489051095,CFL,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; Data for Halogen Lamp (A19 43W; 750 lumens)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,2.5,USD/klm,2.5,US2014$/kilo lumen,0.023895985401459856,Incandescent,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; Data for CFL (A19 Replacement)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,2.0,USD/klm,2.0,US2014$/kilo lumen,0.02655109489051095,CFL,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; Data for CFL (Dimmable A19 Replacement)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,10.0,USD/klm,10.0,US2014$/kilo lumen,0.02655109489051095,CFL,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; Data for Fluorescent Lamp and Ballast System (F32T8)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,4.0,USD/klm,4.0,US2014$/kilo lumen,0.035401459854014605,LFL,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; Data for HID (High-Watt) System",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,3.0,USD/klm,3.0,US2014$/kilo lumen,0.02655109489051095,CFL,
"MCKinsey, 2012, Data for incandescent lamp",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,0.17,EUR/unit average sales price,0.48459618421052636,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"MCKinsey, 2012, Data for halogen lamp",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,0.54,EUR/unit average sales price,1.7532498556838372,US2014$/kilo-lumen,0.1593065693430657,Halogen,
"MCKinsey, 2012, Data for LFL (assumed lamp)",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,0.87,EUR/unit average sales price,0.6025556585677749,US2014$/kilo-lumen,0.035401459854014605,LFL,
"MCKinsey, 2012, Data for CFL",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,0.91,EUR/unit average sales price,2.546850961722489,US2014$/kilo-lumen,0.02655109489051095,CFL,
"MCKinsey, 2012, Data for LFL tube",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,4.0,EUR/unit average sales price,2.77037084398977,US2014$/kilo-lumen,0.035401459854014605,LFL,
"MCKinsey, 2012, Data for CFL bulb",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World,,3 - For Profit,2011,,9.0,EUR/unit average sales price,25.188635885167468,US2014$/kilo-lumen,0.02655109489051095,CFL,
"IEA, 2006, Incandescent lamp",,World,,2 - Public Sector/ Multilateral Agency,2006,,0.5,USD/lamp,1.1403508771929824,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"IEA, 2006, CFL",,World,,2 - Public Sector/ Multilateral Agency,2006,,10.0,USD/lamp,22.392344497607656,US2014$/kilo-lumen,0.02655109489051095,CFL,
"NEEA 2015, Data for CFL general purpose lamp, in big box stores, average price",https://neea.org/docs/default-source/reports/northwest-residential-lighting-long-term-market-tracking-study.pdf?sfvrsn=4,OECD90,USA,,2014,,3.13,USD/lamp,5.99043062200957,US2014$/kilo-lumen,0.02655109489051095,CFL,
"NEEA 2015, Data for incandescent lamp, traditional, average price",https://neea.org/docs/default-source/reports/northwest-residential-lighting-long-term-market-tracking-study.pdf?sfvrsn=4,OECD90,USA,,2014,,1.39,USD/lamp,2.7095516569200777,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"NEEA 2015, Data for incandescent lamp, EISA compliant, average price",https://neea.org/docs/default-source/reports/northwest-residential-lighting-long-term-market-tracking-study.pdf?sfvrsn=4,OECD90,USA,,2014,,1.9,USD/lamp,3.7037037037037033,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"EIA, data for incandescent",,OECD90,USA,,2005-2012,,0.33,USD/lamp,0.6625730994152047,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"EIA, data for incandescent",,OECD90,USA,,2013,,0.74,USD/lamp,1.471345029239766,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"EIA, data for incandescent",,OECD90,USA,,2014-2019,,1.71,USD/lamp,3.333333333333333,US2014$/kilo-lumen,0.023895985401459856,Incandescent,
"EIA, data for CFL",,OECD90,USA,,2009,,3.07,USD/lamp,6.463157894736843,US2014$/kilo-lumen,0.02655109489051095,CFL,
"EIA, data for CFL",,OECD90,USA,,2011,,2.33,USD/lamp,4.682296650717705,US2014$/kilo-lumen,0.02655109489051095,CFL,
