"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Calculations and assumption on Lighting models, incandescent lamp",,World ,,,,,,,1000.0,Petalumen hours (Plmh)/Petalumens (Plm),0.04779197080291971,Incandescent,
"Calculations and assumption on Lighting models, halogen lamp",,World ,,,,,,,2000.0,Petalumen hours (Plmh)/Petalumens (Plm),0.07965328467153285,Halogen,
"Calculations and assumption on Lighting models, LFL",,World ,,,,,,,20000.0,Petalumen hours (Plmh)/Petalumens (Plm),0.035401459854014605,LFL,
"Calculations and assumption on Lighting models, CFL",,World ,,,,,,,10000.0,Petalumen hours (Plmh)/Petalumens (Plm),0.0531021897810219,CFL,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan "" Data for Halogen Lamp (A19 43W)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,8400.0,hours,,hours,0.07965328467153285,Halogen,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan "" Data for CFL (A19 Replacement)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,12000.0,hours,,hours,0.0531021897810219,CFL,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan ""Data for CFL (Dimmable A19 Replacement)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,12000.0,hours,,hours,0.0531021897810219,CFL,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan ""Data for Fluorescent Lamp and Ballast System (F32T8)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,25000.0,hours,,hours,0.035401459854014605,LFL,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan ""; Data for Incandescent A19",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,1000.0,hours,,hours,0.04779197080291971,Incandescent,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan ""; Data for HID (High Watt) System",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,15000.0,hours,,hours,0.0,HID,
