"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"US DOE 2014; Data for LED Lamp (A19 12W; 800 lumens, dimmable)",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2013,,16.0,USD/klm,16.32,US2014$/kilo-lumen,,Installing costs estimated 0 USD in residential lighting.,
"US DOE 2014; Data for LED Lamp (PAR38, 18W, 900 lm)",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2013,,37.0,USD/klm,37.74,US2014$/kilo-lumen,,,
"US DOE 2014; Data for LED Lamp (MR16, 10W; 500 lm)",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2013,,36.0,USD/klm,36.72,US2014$/kilo-lumen,,,
"US DOE 2014; Data for LED Lamp, A lamp 60W A19",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,10.0,USD/lamp,12.5,US2014$/kilo-lumen,,Assumed: 800 lm from 60 W LED lamp,
"US DOE 2014; Data for LED Lamp, A lamp 60W A19 dimmable",http://energy.gov/sites/prod/files/2014/08/f18/ssl_mypp2014_web.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2014,,13.0,USD/lamp,16.25,US2014$/kilo-lumen,,,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan "" LED A19 Lamp (Dimmable, 2700 K)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,11.0,USD/klm,11.33,US2014$/kilo lumen,,,
"US DOE Solid-State Lighting (SSL program) 2015  ""R&D Plan  ""LED PAR38 Lamp (3000 K)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,23.0,USD/klm,23.69,US2014$/kilo lumen,,,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; LED A19 Lamp (Dimmable, 2700 K)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2017,,14.0,USD/klm,14.0,US2014$/kilo lumen,,,
"US DOE Solid-State Lighting (SSL program) 2017 ""Suggested Research Topics Supplement: Technology and Market Context ""; ED PAR38 Lamp (3000 K)",https://www.energy.gov/sites/prod/files/2017/09/f37/ssl_supplement_suggested-topics_sep2017_0.pdf,OECD90,USA,3 - Public Sector/ Multilateral Agency,2017,,20.0,USD/klm,20.0,US2014$/kilo lumen,,,
"MCKinsey, 2012, Data for LED retrofit",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World ,,3 - For Profit,2011,,6.58,EUR/unit average sales price,16.036998075000003,US2014$/kilo-lumen,,,
"MCKinsey, 2012, Data for LED bulb",https://www.mckinsey.com/~/media/McKinsey/dotcom/client_service/Automotive%20and%20Assembly/Lighting_the_way_Perspectives_on_global_lighting_market_2012.ashx,World ,,3 - For Profit,2011,,35.0,EUR/unit average sales price,85.30318125000001,US2014$/kilo-lumen,,,
"NEEA 2015, Data for LED lamp, A lamp, average price",https://neea.org/docs/default-source/reports/northwest-residential-lighting-long-term-market-tracking-study.pdf?sfvrsn=4,OECD90,USA,3 - For Profit,2014,,11.14,USD/lamp,18.56666666666667,US2014$/kilo-lumen,,,
"VITO 2015 Task 7, LED price (assumed lamp)",,EU,,3 - For Profit,2013,,30.0,EUR/klm,40.650998400000006,US2014$/kilo-lumen,,,
"Amazon India, Philips 2 pack, 13 W, 1300 lm, 100 lm/W",http://www.amazon.in/Philips-13-Watt-White-Golden-Yellow/dp/B016WE1ON4/ref=sr_1_1?s=kitchen&ie=UTF8&qid=1467016868&sr=1-1,India,India,3 - For Profit,2016,,499.0,Indian rupees/pcs,5.568537802881289,US2014$/kilo-lumen,,"1 INR =0.0147 USD, source: http://www.usforex.com/currency-converter",
