"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"MacKenzie et al. (2016), BGC outplaned- crop CG1.6. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,227.6,g/m2/yr,2.276,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC outplaned- crop CG2.1. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,182.9,g/m2/yr,1.8290000000000002,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF1.1. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,388.6,g/m2/yr,3.886,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF1.6. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,274.5,g/m2/yr,2.745,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF2.1. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,602.7,g/m2/yr,6.027000000000001,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF2.6. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,233.7,g/m2/yr,2.3369999999999997,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF3.1. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,121.0,g/m2/yr,1.21,t C/ha/yr,,,
"MacKenzie et al. (2016), BGC naturally restored KVPF3.6. Full reference: Mackenzie, Richard A., Patra B. Foulk, J. Val Klump, Kimberly Weckerly, Joko Purbospito, Daniel Murdiyarso, … Vien Ngoc Nam. (2016). Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetlands Ecol Manage, 24, 245–261. https://doi.org/10.1007/s11273-016-9481-3
",https://link.springer.com/article/10.1007/s11273-016-9481-3,Asia (Sans Japan),Viet Nam,,2012,,206.8,g/m2/yr,2.068,t C/ha/yr,,,
"IPCC (2013). Table 4.12. Full reference: IPCC. (n.d.). 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, Hiraishi, T., Krug, T., Tanabe, K., Srivastava, N., Baasansuren, J., Fukuda, M. and Troxler, T.G. (eds). Switzerland: IPCC.
",https://www.ipcc.ch/publication/2013-supplement-to-the-2006-ipcc-guidelines-for-national-greenhouse-gas-inventories-wetlands/,World,,,2013,,1.62,tC/ ha/ yr,,t C/ha/yr,,"Sources: Breithaupt et al., 2012; Chmura et al., 2003; Fujimoto et al., 1999; Ren et al., 2010",
"Sidik et al. (2019), Table 4 BGC. Full reference: Sidik, F., Fernanda Adame, M., & Lovelock, C. E. (2019). Carbon sequestration and fluxes of restored mangroves in abandoned aquaculture ponds. Journal of the Indian Ocean Region, 1–16. https://doi.org/10.1080/19480881.2019.1605659
",https://www.tandfonline.com/doi/full/10.1080/19480881.2019.1605659,Asia (Sans Japan),Indonesia,,2012,,1.9,tC/ ha/ yr,,t C/ha/yr,,,
