"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Crop,Exclude Data?
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Sorghum,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Sorghum,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,"Rice, paddy",
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,"Rice, paddy",
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,"Beans, dry",
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Cow peas,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,"Rice, paddy",
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,"Rice, paddy",
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Soybeans,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Wheat,
,,,,,,,,,0.0,US$2014/ ha/ yr ,,,Maize,
