Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,7652293488000.477,,,,,,,,,
2013,7871866209351.561,,,,,,,,,
2014,8088281550479.879,,,,,,,,,
2015,8334366702263.66,,,,,,,,,
2016,8511423410997.556,,,,,,,,,
2017,8718041589851.579,,,,,,,,,
2018,8921285707412.172,,,,,,,,,
2019,9121101593411.664,,,,,,,,,
2020,9254179438418.521,,,,,,,,,
2021,9510231989656.686,,,,,,,,,
2022,9699438159366.88,,,,,,,,,
2023,9884999416445.309,,,,,,,,,
2024,10066861590624.305,,,,,,,,,
2025,10232562109329.26,,,,,,,,,
2026,10419272009213.328,,,,,,,,,
2027,10589711913088.021,,,,,,,,,
2028,10756236052992.615,,,,,,,,,
2029,10918790258659.441,,,,,,,,,
2030,11126104031202.373,,,,,,,,,
2031,11231772186209.121,,,,,,,,,
2032,11382091567556.64,,,,,,,,,
2033,11528224333595.727,,,,,,,,,
2034,11670116314058.71,,,,,,,,,
2035,11850927819392.252,,,,,,,,,
2036,11940961237185.703,,,,,,,,,
2037,12069805839314.38,,,,,,,,,
2038,12194192974796.285,,,,,,,,,
2039,12314068473363.756,,,,,,,,,
2040,12389442720780.553,,,,,,,,,
2041,12540067878684.719,,,,,,,,,
2042,12646083444902.879,,,,,,,,,
2043,12747370693135.934,,,,,,,,,
2044,12843875453116.217,,,,,,,,,
2045,12902042633340.709,,,,,,,,,
2046,13022320827247.805,,,,,,,,,
2047,13104153100863.775,,,,,,,,,
2048,13180986205156.307,,,,,,,,,
2049,13252765969857.732,,,,,,,,,
2050,13343659118133.355,,,,,,,,,
2051,13380948799416.602,,,,,,,,,
2052,13437243523738.71,,,,,,,,,
2053,13488268227399.047,,,,,,,,,
2054,13533968740129.943,,,,,,,,,
2055,13574290891663.734,,,,,,,,,
2056,13609180511732.75,,,,,,,,,
2057,13638583430069.324,,,,,,,,,
2058,13662445476405.797,,,,,,,,,
2059,13680712480474.49,,,,,,,,,
2060,13693330272007.746,,,,,,,,,
