Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,5140823567896.236,,,,,,,,,
2013,5598250446692.047,,,,,,,,,
2014,6090235004744.456,,,,,,,,,
2015,6502938165884.134,,,,,,,,,
2016,6950199006280.41,,,,,,,,,
2017,7394071167210.175,,,,,,,,,
2018,7834554648673.429,,,,,,,,,
2019,8291981527469.25,,,,,,,,,
2020,8739581480501.5,,,,,,,,,
2021,9187181433533.75,,,,,,,,,
2022,9634781386566.0,,,,,,,,,
2023,10082381339598.25,,,,,,,,,
2024,10529981292630.625,,,,,,,,,
2025,10977581245662.875,,,,,,,,,
2026,11425181198695.125,,,,,,,,,
2027,11872781151727.375,,,,,,,,,
2028,12320381104759.75,,,,,,,,,
2029,12767981057792.0,,,,,,,,,
2030,13215581010824.25,,,,,,,,,
2031,13663180963856.5,,,,,,,,,
2032,14110780916888.75,,,,,,,,,
2033,14558380869921.125,,,,,,,,,
2034,15005980822953.375,,,,,,,,,
2035,15453580775985.625,,,,,,,,,
2036,15901180729017.875,,,,,,,,,
2037,16348780682050.25,,,,,,,,,
2038,16796380635082.5,,,,,,,,,
2039,17243980588114.75,,,,,,,,,
2040,17691580541147.0,,,,,,,,,
2041,18139180494179.25,,,,,,,,,
2042,18586780447211.625,,,,,,,,,
2043,19034380400243.875,,,,,,,,,
2044,19481980353276.125,,,,,,,,,
2045,19929580306308.375,,,,,,,,,
2046,20377180259340.75,,,,,,,,,
2047,20824780212373.0,,,,,,,,,
2048,21272380165405.25,,,,,,,,,
2049,21719980118437.5,,,,,,,,,
2050,22167580071469.75,,,,,,,,,
2051,22615180024502.125,,,,,,,,,
2052,23062779977534.375,,,,,,,,,
2053,23510379930566.625,,,,,,,,,
2054,23957979883598.875,,,,,,,,,
2055,24405579836631.25,,,,,,,,,
2056,24853179789663.5,,,,,,,,,
2057,25300779742695.75,,,,,,,,,
2058,25748379695728.0,,,,,,,,,
2059,26195979648760.25,,,,,,,,,
2060,26643579601792.625,,,,,,,,,
