Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,9506707058073.17,,,,,,,,,
2013,9540161579028.33,,,,,,,,,
2014,9573616099983.48,2187649470495.665,577761317940.8938,3910154786667.3125,1052178120625.0938,1223396924859.789,,,,
2015,9607070620938.64,2185120367296.2295,577314846276.1935,4059338451278.9375,1143170145449.0,1251267055827.4766,,,,
2016,9640525141893.8,2182591264096.794,576868374611.4932,4208522115890.5625,1234162170272.9062,1279137186795.1562,,,,
2017,9673979662848.96,2180062160897.3584,576421902946.7928,4357705780502.1875,1325154195096.8125,1307007317762.8438,,,,
2018,9673010126584.041,2177533057697.9229,575975431282.0925,4506889445113.8125,1416146219920.7188,1334877448730.5234,,,,
2019,9708171008963.328,2175003954498.4883,575528959617.3923,4656073109725.4375,1507138244744.625,1362747579698.2031,,,,
2020,9749486237038.818,2172474851299.0527,575082487952.692,4805256774337.0,1598130269568.5312,1390617710665.8906,,,,
2021,9796407752946.424,2169945748099.6172,574636016287.9917,4954440438948.625,1689122294392.4375,1418487841633.5703,,,,
2022,9848387498822.059,2167416644900.1816,574189544623.2914,5103624103560.25,1777084077035.7705,1446357972601.2578,,,,
2023,9904877416801.635,2164887541700.746,573743072958.5911,5252807768171.875,1837349002292.9167,1474228103568.9375,,,,
2024,9965329449021.066,2162358438501.3105,573296601293.8909,5401991432783.5,1899867217368.22,1502098234536.6172,,,,
2025,10029195537616.268,2159829335301.875,572850129629.1906,5551175097395.125,1964772630625.8901,1529968365504.3047,,,,
2026,10095927624723.15,2157300232102.4395,572403657964.4902,5700358762006.75,2032199150430.1367,1557838496471.9844,,,,
2027,10164977652477.627,2154771128903.005,571957186299.7899,5849542426618.3125,2102280685145.1692,1585708627439.6719,,,,
2028,10235797563015.613,2152242025703.5693,571510714635.0896,5998726091229.9375,2175151143135.1973,1613578758407.3516,,,,
2029,10307839298473.021,2149712922504.1338,571064242970.3893,6147909755841.5625,2250944432764.4307,1641448889375.0312,,,,
2030,10344829409151.4,2147183819304.6982,570617771305.6891,6297093420453.1875,2329794462397.079,1669319020342.7188,,,,
2031,10453396012689.758,2144654716105.2627,570171299640.9888,6446277085064.8125,2411835140397.352,1697189151310.3984,,,,
2032,10525814875720.91,2142125612905.8271,569724827976.2885,6595460749676.4375,2497200375129.459,1725059282278.086,,,,
2033,10597263332215.139,2139596509706.3916,569278356311.5881,6744644414288.0,2586024074957.6104,1752929413245.7656,,,,
2034,10667193324308.354,2137067406506.956,568831884646.8878,6893828078899.625,2678440148246.0137,1780799544213.4453,,,,
2035,10792867601786.041,2134538303307.5205,568385412982.1876,7043011743511.25,2774582503358.8813,1808669675181.1328,,,,
2036,10800305683835.404,2132009200108.086,567938941317.4873,7192195408122.875,2874585048660.421,1836539806148.8125,,,,
2037,10862391935541.064,2129480096908.6504,567492469652.787,7341379072734.5,2978581692514.843,1864409937116.5,,,,
2038,10920767491389.365,2126950993709.2148,567045997988.0867,7490562737346.125,3086706343286.3564,1892280068084.1797,,,,
2039,10974884293516.223,2124421890509.7793,566599526323.3864,7639746401957.6875,3199092909339.172,1920150199051.8594,,,,
2040,11016023389218.158,2121892787310.3438,566153054658.686,7788930066569.3125,3315875299037.498,1948020330019.5469,,,,
2041,11068149405149.25,2119363684110.9082,565706582993.9858,7938113731180.9375,3437187420745.545,1975890460987.2266,,,,
2042,11106201598927.25,2116834580911.4727,565260111329.2855,8087297395792.5625,3563163182827.5225,2003760591954.914,,,,
2043,11137802807527.457,2114305477712.037,564813639664.5852,8236481060404.1875,3690946840518.3125,2031630722922.5938,,,,
2044,11162404973085.785,2111776374512.6025,564367167999.8849,8385664725015.8125,3781938865342.2188,2059500853890.2734,,,,
2045,11149435222484.092,2109247271313.167,563920696335.1846,8534848389627.375,3872930890166.125,2087370984857.961,,,,
2046,11188419943620.457,2106718168113.7314,563474224670.4844,8684032054239.0,3963922914990.0312,2115241115825.6406,,,,
2047,11188736632868.627,2104189064914.296,563027753005.784,8833215718850.625,4054914939813.9375,2143111246793.3281,,,,
2048,11179862047618.57,2101659961714.8604,562581281341.0837,8982399383462.25,4145906964637.8438,2170981377761.0078,,,,
2049,11161248130006.201,2099130858515.4248,562134809676.3834,9131583048073.875,4236898989461.75,2198851508728.6875,,,,
2050,11146257706817.666,2096601755315.9893,561688338011.6831,9280766712685.5,4327891014285.6562,2226721639696.375,,,,
2051,11092610066238.18,2094072652116.5537,561241866346.9829,9429950377297.125,4418883039109.5625,2254591770664.0547,,,,
2052,11041489804354.354,2091543548917.1182,560795394682.2826,9579134041908.688,4509875063933.469,2282461901631.742,,,,
2053,10978437978651.865,2089014445717.6836,560348923017.5823,9728317706520.312,4600867088757.375,2310332032599.422,,,,
2054,10902906531266.633,2086485342518.248,559902451352.882,9877501371131.938,4691859113581.281,2338202163567.1016,,,,
2055,10814347404334.566,2083956239318.8125,559455979688.1816,10026685035743.562,4782851138405.1875,2366072294534.789,,,,
2056,10712212539991.58,2081427136119.377,559009508023.4814,10175868700355.188,4873843163229.0625,2393942425502.4688,,,,
2057,10595953880373.586,2078898032919.9414,558563036358.7811,10325052364966.812,4964835188052.969,2421812556470.1562,,,,
2058,10465023367616.5,2076368929720.5059,558116564694.0808,10474236029578.375,5055827212876.875,2449682687437.836,,,,
2059,10318872943856.234,2073839826521.0703,557670093029.3805,10623419694190.0,5146819237700.781,2477552818405.5156,,,,
2060,10156954551228.703,2071310723321.6348,557223621364.6802,10772603358801.625,5237811262524.6875,2505422949373.203,,,,
