Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,1e-06,,,,,,,,,
2013,1e-06,,,,,,,,,
2014,1e-06,,,,,,,,,
2015,1e-06,,,,,,,,,
2016,1e-06,,,,,,,,,
2017,1e-06,,,,,,,,,
2018,1e-06,,,,,,,,,
2019,1e-06,,,,,,,,,
2020,1e-06,,,,,,,,,
2021,3.748866372610314,,,,,,,,,
2022,7.497732745220628,,,,,,,,,
2023,11.246599117830941,,,,,,,,,
2024,14.995465490441257,,,,,,,,,
2025,18.74433186305157,,,,,,,,,
2026,22.493198235661882,,,,,,,,,
2027,26.242064608272198,,,,,,,,,
2028,29.990930980882514,,,,,,,,,
2029,33.739797353492825,,,,,,,,,
2030,37.48866372610314,,,,,,,,,
2031,41.23753009871346,,,,,,,,,
2032,44.986396471323765,,,,,,,,,
2033,48.73526284393409,,,,,,,,,
2034,50.68788826798352,,,,,,,,,
2035,50.213862118671976,,,,,,,,,
2036,49.60745312524761,,,,,,,,,
2037,48.72109201889528,,,,,,,,,
2038,47.42760497083053,,,,,,,,,
2039,45.82562917513628,,,,,,,,,
2040,44.27736959026893,,,,,,,,,
2041,41.86784105717625,,,,,,,,,
2042,39.501930642614724,,,,,,,,,
2043,38.88460532464992,,,,,,,,,
2044,34.20636765349144,,,,,,,,,
2045,29.61159036033649,,,,,,,,,
2046,24.024398573976164,,,,,,,,,
2047,18.509650449724244,,,,,,,,,
2048,12.735442109400243,,,,,,,,,
2049,6.677171676415804,,,,,,,,,
2050,0.5228684656668955,,,,,,,,,
2051,0.0,,,,,,,,,
2052,0.0,,,,,,,,,
2053,0.0,,,,,,,,,
2054,0.0,,,,,,,,,
2055,0.0,,,,,,,,,
2056,0.0,,,,,,,,,
2057,0.0,,,,,,,,,
2058,0.0,,,,,,,,,
2059,0.0,,,,,,,,,
2060,0.0,,,,,,,,,
